,If You Leave Me Now_Chicago
0,you
1,leave
2,me
3,you'll
4,take
5,away
6,biggest
7,part
8,me
9,ooh
10,baby
11,please
12,go
13,you
14,leave
15,me
16,you'll
17,take
18,away
19,heart
20,me
21,ooh
22,baby
23,please
24,go
25,ooh
26,girl
27,i
28,want
29,you
30,stay
31,love
32,like
33,love
34,that's
35,hard
36,find
37,could
38,let
39,slip
40,away
41,we've
42,come
43,far
44,leave
45,behind
46,could
47,end
48,way
49,tomorrow
50,comes
51,we'll
52,regret
53,things
54,said
55,today
56,love
57,like
58,love
59,that's
60,hard
61,find
62,could
63,let
64,slip
65,away
66,we've
67,come
68,far
69,leave
70,behind
71,could
72,end
73,way
74,tomorrow
75,comes
76,we'll
77,regret
78,things
79,said
80,today
81,you
82,leave
83,me
84,you'll
85,take
86,away
87,biggest
88,part
89,me
90,ooh
91,baby
92,please
93,go
94,ooh
95,girl
96,i
97,got
98,you
99,my
100,side
101,ooh
102,baby
103,please
104,go
105,ooh
106,mama
107,i
108,got
109,your
110,lovin'
