,Everything You Want_Vertical Horizon
0,somewhere
1,there's
2,speaking
3,already
4,coming
5,oh
6,rising
7,back
8,your
9,mind
10,you
11,never
12,could
13,get
14,unless
15,you
16,fed
17,you're
18,you
19,know
20,skinned
21,knees
22,skid
23,marks
24,past
25,places
26,you
27,used
28,learn
29,you
30,howl
31,listen
32,listen
33,wait
34,echoes
35,angels
36,return
37,he's
38,everything
39,you
40,want
41,he's
42,everything
43,you
44,need
45,he's
46,everything
47,inside
48,you
49,you
50,wish
51,you
52,could
53,he
54,says
55,right
56,things
57,exactly
58,right
59,time
60,he
61,means
62,nothing
63,you
64,you
65,know
66,you're
67,waiting
68,someone
69,put
70,you
71,together
72,you're
73,waiting
74,someone
75,push
76,you
77,away
78,there's
79,always
80,another
81,wound
82,discover
83,there's
84,always
85,something
86,you
87,wish
88,he'd
89,say
90,he's
91,everything
92,you
93,want
94,he's
95,everything
96,you
97,need
98,he's
99,everything
100,inside
101,you
102,you
103,wish
104,you
105,could
106,he
107,says
108,right
109,things
110,exactly
111,right
112,time
113,he
114,means
115,nothing
116,you
117,you
118,know
119,you'll
120,sit
121,tight
122,watch
123,unwind
124,you're
125,asking
126,you'll
127,fine
128,your
129,time
130,you're
131,waiting
132,island
133,highway
134,past
135,places
136,you
137,might
138,turned
139,you
140,never
141,notice
142,you
143,still
144,hide
145,away
146,anger
147,angels
148,return
149,he's
150,everything
151,you
152,want
153,he's
154,everything
155,you
156,need
157,he's
158,everything
159,inside
160,you
161,you
162,wish
163,you
164,could
165,he
166,says
167,right
168,things
169,exactly
170,right
171,time
172,he
173,means
174,nothing
175,you
176,you
177,know
178,i
179,everything
180,you
181,want
182,i
183,everything
184,you
185,need
186,i
187,everything
188,inside
189,you
190,you
191,wish
192,you
193,could
194,i
195,say
196,right
197,things
198,exactly
199,right
200,time
201,i
202,mean
203,nothing
204,you
205,i
206,know
207,i
208,know
209,i
210,know
