,Controlla_Drake
0,drake
1,right
2,my
3,yiy
4,changed
5,you
6,buzzed
7,front
8,gate
9,i
10,thank
11,god
12,you
13,came
14,many
15,days
16,could
17,i
18,wait
19,i
20,made
21,plans
22,you
23,i
24,let
25,'em
26,fall
27,i
28,i
29,i
30,i
31,i
32,drake
33,i
34,think
35,i'd
36,lie
37,you
38,i
39,think
40,i'd
41,die
42,you
43,jodeci
44,cry
45,you
46,things
47,you
48,want
49,me
50,like
51,controlla
52,controlla
53,yeah
54,like
55,controlla
56,controlla
57,yeah
58,drake
59,okay
60,you
61,like
62,i
63,get
64,aggressive
65,tell
66,you
67,go
68,slower
69,go
70,faster
71,like
72,controlla
73,controlla
74,yeah
75,like
76,controlla
77,controlla
78,yeah
79,drake
80,i’m
81,never
82,waste
83,ting
84,shawty
85,i
86,you
87,say
88,you
89,want
90,girls
91,wanna
92,take
93,my
94,money
95,want
96,me
97,give
98,you
99,nothing
100,want
101,you
102,nothing
103,wanna
104,see
105,me
106,find
107,your
108,lovin'
109,wanna
110,see
111,me
112,smiling
113,back
114,pree
115,drake
116,knowing
117,i'd
118,lie
119,you
120,thinking
121,i'd
122,die
123,you
124,jodeci
125,cry
126,you
127,things
128,you
129,want
130,me
131,like
132,controlla
133,controlla
134,yeah
135,like
136,controlla
137,controlla
138,yeah
139,break
140,beenie
141,man
142,gyal
143,tear
144,mi
145,garments
146,bawl
147,fi
148,come
149,inna
150,mi
151,apartment
152,woi
153,di
154,gyal
155,dem
156,want
157,di
158,length
159,strength
160,action
161,speak
162,louder
163,argument
164,well
165,drake
166,you
167,can't
168,diss
169,come
170,tell
171,man
172,sorry
173,you
174,can't
175,listen
176,me
177,talk
178,go
179,tell
180,my
181,story
182,nah
183,work
184,like
185,you
186,love
187,somebody
188,my
189,old
190,flex
191,my
192,new
193,flex
194,we're
195,workin'
196,yeah
197,that's
198,i
199,need
200,energy
201,you
202,bring
203,me
204,my
205,last
206,girl
207,would
208,tear
209,me
210,apart
211,she'd
212,never
213,wanna
214,split
215,ting
216,me
217,drake
218,comes
219,you
220,you
221,i
222,think
223,i'd
224,lie
225,you
226,i
227,think
228,i'd
229,die
230,you
231,things
232,you
233,want
234,me
235,like
236,controlla
237,controlla
238,yeah
239,like
240,controlla
241,controlla
242,yeah
243,drake
244,i’m
245,never
246,waste
247,ting
248,shawty
249,i
250,you
251,say
252,you
253,want
254,girls
255,wanna
256,take
257,my
258,money
259,want
260,me
261,give
262,you
263,nothing
264,want
265,you
266,nothing
267,wanna
268,see
269,me
270,find
271,your
272,lovin'
273,wanna
274,see
275,me
276,smiling
277,back
278,pree
279,jheeze
280,beenie
281,man
282,music
283,drop
284,gyal
285,whine
286,dem
287,bumpa
288,dis
289,di
290,summa
291,summa
292,controlla
293,drake
294,canada
295,beenie
296,man
297,jamaica
298,dah
299,one
300,yah
301,murda—zagga
