,Push_Matchbox Twenty
0,she
1,said
2,i
3,know
4,i've
5,ever
6,good
7,enough
8,i'm
9,little
10,bit
11,rusty
12,i
13,think
14,my
15,head
16,caving
17,i
18,know
19,i've
20,ever
21,really
22,loved
23,hand
24,that's
25,touched
26,me
27,well
28,i
29,feel
30,like
31,something's
32,gonna
33,give
34,i'm
35,little
36,bit
37,angry
38,well
39,ain't
40,i
41,still
42,need
43,you
44,around
45,you
46,owe
47,me
48,might
49,change
50,yeah
51,might
52,feel
53,good
54,i
55,wanna
56,push
57,you
58,around
59,i
60,i
61,i
62,wanna
63,push
64,you
65,i
66,i
67,i
68,wanna
69,take
70,you
71,granted
72,i
73,wanna
74,take
75,you
76,granted
77,i
78,she
79,said
80,i
81,know
82,you
83,ever
84,would
85,lie
86,me
87,like
88,i'm
89,little
90,untrusting
91,i
92,think
93,truth
94,gonna
95,hurt
96,ya
97,i
98,know
99,you
100,stay
101,me
102,you
103,stand
104,near
105,me
106,my
107,face
108,seem
109,want
110,shine
111,'cause
112,little
113,bit
114,dirty
115,well
116,stand
117,say
118,nice
119,things
120,me
121,'cause
122,i've
123,cheated
124,i've
125,wronged
126,you
127,you
128,know
129,me
130,well
131,i
132,can't
133,change
134,i
135,anything
136,i
137,wanna
138,push
139,you
140,around
141,i
142,i
143,i
144,wanna
145,push
146,you
147,i
148,i
149,i
150,wanna
151,take
152,you
153,granted
154,i
155,wanna
156,take
157,you
158,granted
159,i
160,oh
161,bowl
162,me
163,wait
164,minute
165,well
166,kinda
167,fell
168,apart
169,things
170,get
171,crazy
172,crazy
173,rush
174,baby
175,rush
176,baby
177,i
178,wanna
179,push
180,you
181,around
182,i
183,i
184,i
185,wanna
186,push
187,you
188,i
189,i
190,i
191,wanna
192,take
193,you
194,granted
195,i
196,wanna
197,take
198,you
199,granted
200,i
