,Who Needs Love?_Razorlight
0,ooh
1,darling
2,needs
3,love
4,needs
5,heaven
6,needs
7,clouds
8,sky
9,i
10,ooh
11,darling
12,needs
13,rain
14,needs
15,somebody
16,feel
17,your
18,pain
19,needs
20,disappointment
21,telephone
22,call
23,i
24,i
25,need
26,i
27,i'm
28,tired
29,love
30,yeah
31,sick
32,love
33,i've
34,taken
35,enough
36,ooh
37,darling
38,needs
39,night
40,sacred
41,hours
42,fading
43,light
44,needs
45,morning
46,joy
47,brings
48,i
49,i've
50,got
51,my
52,mind
53,things
54,i
55,ooh
56,darling
57,needs
58,joy
59,needs
60,perfect
61,girl
62,boy
63,needs
64,draw
65,person
66,near
67,i
68,always
69,disappear
70,i
71,you
72,know
73,i'm
74,tired
75,love
76,yeah
77,yeah
78,i'm
79,sick
80,love
81,yeah
82,you
83,give
84,me
85,enough
86,i'm
87,gone
88,ooh
89,darling
90,needs
91,love
92,needs
93,heaven
94,needs
95,arguments
96,needs
97,right
98,i
99,i
100,can't
101,give
102,without
103,fight
104,i
105,i
106,can't
107,give
108,without
109,fight
110,i
111,i
112,can't
113,give
114,without
115,fight
116,i
117,i
118,ooh
119,i
120,i
121,ooohhhooo
