,Love Never Felt So Good_Michael Jackson
0,justin
1,timberlake
2,dancin'
3,let
4,me
5,see
6,you
7,move
8,come
9,dancin'
10,let
11,me
12,see
13,you
14,move
15,michael
16,jackson
17,baby
18,love
19,never
20,felt
21,good
22,i
23,doubt
24,ever
25,could
26,like
27,you
28,hold
29,me
30,hold
31,me
32,oh
33,baby
34,love
35,never
36,felt
37,fine
38,i
39,doubt
40,never
41,mine
42,like
43,you
44,hold
45,me
46,hold
47,me
48,prechorus
49,michael
50,jackson
51,night
52,gonna
53,fine
54,gotta
55,fly
56,gotta
57,see
58,can't
59,believe
60,i
61,can't
62,take
63,cause
64,michael
65,jackson
66,baby
67,every
68,time
69,i
70,love
71,you
72,my
73,life
74,baby
75,tell
76,me
77,you
78,really
79,love
80,me
81,my
82,life
83,baby
84,baby
85,love
86,never
87,felt
88,good
89,justin
90,timberlake
91,baby
92,love
93,never
94,felt
95,fine
96,i
97,doubt
98,ever
99,mine
100,like
101,you
102,hold
103,me
104,hold
105,me
106,oh
107,baby
108,love
109,never
110,felt
111,good
112,i
113,doubt
114,ever
115,could
116,like
117,you
118,hold
119,me
120,hold
121,me
122,prechorus
123,justin
124,timberlake
125,night
126,thick
127,thin
128,gotta
129,fly
130,gotta
131,see
132,can't
133,believe
134,i
135,can't
136,take
137,cause
138,michael
139,jackson
140,justin
141,timberlake
142,baby
143,every
144,time
145,i
146,love
147,you
148,my
149,life
150,baby
151,tell
152,me
153,you
154,really
155,love
156,me
157,my
158,life
159,baby
160,baby
161,love
162,never
163,felt
164,good
165,justin
166,timberlake
167,dancin'
168,let
169,me
170,see
171,you
172,move
173,come
174,let
175,me
176,see
177,you
178,move
179,dancin'
180,let
181,me
182,see
183,you
184,move
185,come
186,i
187,said
188,let
189,me
190,see
191,you
192,move
193,michael
194,prechorus
195,michael
196,jackson
197,night
198,good
199,gotta
200,fly
201,gotta
202,see
203,can't
204,believe
205,i
206,can't
207,take
208,cause
209,michael
210,jackson
211,baby
212,every
213,time
214,i
215,love
216,you
217,my
218,life
219,baby
220,tell
221,me
222,you
223,really
224,love
225,me
226,my
227,life
228,baby
229,baby
230,love
231,never
232,felt
233,good
234,baby
235,every
236,time
237,i
238,love
239,you
240,my
241,life
242,baby
243,tell
244,me
245,you
246,really
247,love
248,me
249,my
250,life
251,baby
252,baby
253,love
254,never
255,felt
256,good
