,Tonight_Lykke Li
0,watch
1,back
2,i'll
3,make
4,sure
5,right
6,behind
7,yesterday
8,night
9,tomorrow
10,dry
11,eyes
12,know
13,dry
14,eyes
15,show
16,know
17,right
18,behind
19,let
20,go
21,let
22,go
23,tonight
24,let
25,go
26,let
27,go
28,tonight
29,let
30,go
31,let
32,go
33,tonight
34,let
35,go
36,let
37,go
38,tonight
39,let
40,go
41,let
42,go
43,tonight
44,let
45,go
46,let
47,go
48,tonight
49,walk
50,surface
51,town
52,high
53,heels
54,ground
55,high
56,horses
57,know
58,keep
59,us
60,safe
61,night
62,know
63,know
64,stay
65,put
66,play
67,along
68,cause
69,i'm
70,looking
71,friend
72,got
73,got
74,let
75,go
76,let
77,go
78,tonight
79,let
80,go
81,let
82,go
83,tonight
84,let
85,go
86,let
87,go
88,tonight
89,let
90,go
91,let
92,go
93,tonight
94,let
95,go
96,let
97,go
98,tonight
99,let
100,go
101,let
102,go
103,tonight
104,let
105,go
106,let
107,go
108,tonight
109,let
110,go
111,let
112,go
113,tonight
114,let
115,go
116,let
117,go
118,tonight
119,bridge
120,dry
121,eye
122,dry
123,eye
124,falling
125,deeper
126,hour
127,dry
128,eye
129,dry
130,eye
131,dry
132,eye
133,let
134,fall
135,deeper
136,dry
137,eye
138,let
139,go
140,let
141,go
142,tonight
143,let
144,go
145,let
146,go
147,tonight
148,let
149,go
150,let
151,go
152,tonight
153,let
154,go
155,let
156,go
157,tonight
158,let
159,go
160,let
161,go
162,tonight
163,let
164,go
165,let
166,go
167,tonight
168,let
169,go
170,let
171,go
172,tonight
173,let
174,go
175,let
176,go
177,tonight
178,let
179,go
180,let
181,go
182,tonight
183,let
184,go
185,let
186,go
187,tonight
188,let
189,go
190,let
191,go
192,tonight
193,let
194,go
195,let
196,go
197,tonight
198,interlude
199,let
200,go
201,let
202,go
203,let
204,go
205,let
206,go
207,outro
208,let
209,go
210,let
211,go
212,tonight
213,let
214,go
215,let
216,go
217,tonight
218,let
219,go
220,let
221,go
222,tonight
