,Make You Smile_+44
0,hoppus
1,&
2,carol
3,last
4,time
5,saw
6,turned
7,away
8,see
9,sun
10,shining
11,eyes
12,said
13,"""hello"""
14,kept
15,walking
16,i'm
17,going
18,deaf
19,sound
20,freeway
21,last
22,time
23,saw
24,turned
25,away
26,hear
27,voice
28,ringing
29,ears
30,remember
31,used
32,sleep
33,night
34,feel
35,always
36,far
37,away
38,hoppus
39,&
40,carol
41,first
42,time
43,saw
44,turned
45,away
46,see
47,smoke
48,getting
49,eyes
50,said
51,"""hello"""
52,kept
53,walking
54,i'm
55,going
56,deaf
57,sound
58,dj
59,first
60,time
61,saw
62,turned
63,away
64,hear
65,noise
66,ringing
67,ears
68,remember
69,used
70,sleep
71,night
72,feel
73,always
74,far
75,away
76,hoppus
77,&
78,carol
79,wanna
80,take
81,home
82,please
83,make
84,sleep
85,alone
86,could
87,i'd
88,want
89,make
90,smile
91,stay
92,hoppus
93,&
94,carol
95,next
96,time
97,see
98,turn
99,away
100,i'll
101,say
102,"""hello"""
103,keep
104,walking
105,next
106,time
107,see
108,i'll
109,turn
110,away
111,remember
112,used
113,sleep
114,night
115,feel
116,always
117,far
118,away
119,hoppus
120,&
121,carol
122,wanna
123,take
124,home
125,please
126,make
127,sleep
128,alone
129,could
130,i'd
131,want
132,make
133,smile
134,stay
135,wanna
136,take
137,home
138,please
139,make
140,sleep
141,alone
142,could
143,i'd
144,want
145,make
146,smile
147,stay
