,Secret Valentine_We the Kings
0,soft
1,kiss
2,wine
3,pretty
4,friend
5,mine
6,we're
7,finally
8,intertwined
9,nervous
10,shy
11,moment
12,come
13,alive
14,tonight
15,prechorus
16,secret
17,valentine
18,we'll
19,write
20,song
21,turns
22,lights
23,boy
24,girl
25,start
26,suddenly
27,shaking
28,inside
29,waste
30,your
31,time
32,speed
33,your
34,breathing
35,close
36,your
37,eyes
38,we'll
39,hope
40,nothing
41,lay
42,still
43,worry
44,talk
45,i'll
46,loving
47,you
48,morning's
49,first
50,light
51,breaks
52,tomorrow
53,i'll
54,take
55,care
56,you
57,tonight
58,prechorus
59,secret
60,valentine
61,we'll
62,write
63,song
64,turns
65,lights
66,boy
67,girl
68,start
69,suddenly
70,shaking
71,inside
72,waste
73,your
74,time
75,speed
76,your
77,breathing
78,close
79,your
80,eyes
81,we'll
82,hope
83,nothing
84,guilt
85,fills
86,your
87,head
88,brush
89,rise
90,dead
91,moment
92,come
93,alive
94,brace
95,yourself
96,love
97,sweet
98,love
99,secret
100,love
101,we'll
102,write
103,song
104,turns
105,lights
106,boy
107,girl
108,start
109,suddenly
110,shaking
111,inside
112,waste
113,your
114,time
115,speed
116,your
117,breathing
118,close
119,your
120,eyes
121,we'll
122,hope
123,nothing
124,we'll
125,write
126,song
127,turns
128,lights
129,boy
130,girl
131,start
132,suddenly
133,shaking
134,inside
135,waste
136,your
137,time
138,speed
139,your
140,breathing
141,close
142,your
143,eyes
144,we'll
145,hope
146,nothing
147,nothing
