,Sacrifice_Elton John
0,human
1,sign
2,things
3,go
4,wrong
5,scent
6,lingers
7,temptation's
8,strong
9,boundary
10,married
11,man
12,sweet
13,deceit
14,comes
15,callin'
16,negativity
17,lands
18,cold
19,cold
20,heart
21,hardened
22,things
23,look
24,better
25,baby
26,passin'
27,sacrifice
28,simple
29,word
30,two
31,hearts
32,livin'
33,two
34,separate
35,worlds
36,sacrifice
37,sacrifice
38,sacrifice
39,mutual
40,misunderstandin'
41,fact
42,sensitivity
43,builds
44,prison
45,final
46,act
47,lose
48,direction
49,stone
50,unturned
51,tears
52,damn
53,jealousy
54,burns
55,cold
56,cold
57,heart
58,hardened
59,things
60,look
61,better
62,baby
63,passin'
64,sacrifice
65,simple
66,word
67,two
68,hearts
69,livin'
70,two
71,separate
72,worlds
73,sacrifice
74,sacrifice
75,sacrifice
76,cold
77,cold
78,heart
79,hardened
80,things
81,look
82,better
83,baby
84,passin'
85,sacrifice
86,simple
87,word
88,two
89,hearts
90,livin'
91,two
92,separate
93,worlds
94,sacrifice
95,sacrifice
96,sacrifice
97,outro
98,sacrifice
99,sacrifice
100,sacrifice
101,sacrifice
