,We All Want Love_Rihanna
0,pretend
1,i'm
2,lonely
3,i'll
4,constantly
5,fooling
6,pretend
7,matter
8,i'll
9,sitting
10,lying
11,say
12,love
13,ain't
14,worth
15,buck
16,i'll
17,give
18,every
19,dime
20,left
21,i've
22,dreaming
23,pre-chorus
24,everybody
25,wants
26,something
27,gotta
28,want
29,something
30,living
31,everybody
32,needs
33,something
34,fighting
35,something
36,know
37,fighting
38,'cause
39,want
40,someone
41,hold
42,want
43,somebody
44,wanna
45,somebody's
46,one
47,wanna
48,warm
49,it’s
50,cold
51,yeah
52,yeah
53,yeah
54,one
55,wants
56,left
57,scared
58,lonely
59,bridge
60,want
61,thing
62,want
63,thing
64,want
65,thing
66,everybody
67,wants
68,something
69,gotta
70,want
71,something
72,yeah
73,yeah
74,want
75,love
76,i'm
77,able
78,close
79,eyes
80,yet
81,heart's
82,blind
83,feel
84,entitled
85,love
86,owes
87,want
88,what's
89,mine
90,say
91,love
92,ain't
93,worth
94,buck
95,i'll
96,give
97,last
98,dime
99,i've
100,dreaming
101,pre-chorus
102,everybody
103,wants
104,something
105,gotta
106,want
107,something
108,living
109,everybody
110,needs
111,something
112,fighting
113,something
114,know
115,fighting
116,'cause
117,want
118,someone
119,hold
120,want
121,somebody
122,wanna
123,somebody's
124,one
125,wanna
126,warm
127,it’s
128,cold
129,yeah
130,yeah
131,yeah
132,one
133,wants
134,left
135,scared
136,lonely
137,bridge
138,want
139,thing
140,want
141,thing
142,want
143,thing
144,everybody
145,wants
146,something
147,gotta
148,want
149,something
150,yeah
151,yeah
152,want
153,love
154,outro
155,yeah
156,yeah
157,want
158,love
