,Hold Me Tight_The Beatles
0,feels
1,right
2,hold
3,me
4,tight
5,tell
6,me
7,i'm
8,one
9,i
10,might
11,never
12,lonely
13,one
14,hold
15,hold
16,me
17,tight
18,me
19,tight
20,tonight
21,tonight
22,tonight
23,tonight
24,you
25,you
26,you
27,you
28,hold
29,me
30,tight
31,let
32,me
33,go
34,loving
35,you
36,tonight
37,tonight
38,making
39,love
40,you
41,hold
42,hold
43,me
44,tight
45,me
46,tight
47,tonight
48,tonight
49,tonight
50,tonight
51,you
52,you
53,you
54,you
55,know
56,means
57,hold
58,you
59,tight
60,alone
61,tonight
62,you
63,feels
64,right
65,hold
66,me
67,tight
68,tell
69,me
70,i'm
71,one
72,i
73,might
74,never
75,lonely
76,one
77,hold
78,hold
79,me
80,tight
81,me
82,tight
83,tonight
84,tonight
85,tonight
86,tonight
87,you
88,you
89,you
90,you
91,know
92,means
93,hold
94,you
95,tight
96,alone
97,tonight
98,you
99,feels
100,right
101,hold
102,me
103,tight
104,let
105,me
106,go
107,loving
108,you
109,tonight
110,tonight
111,making
112,love
113,you
114,hold
115,hold
116,me
117,tight
118,me
119,tight
120,tonight
121,tonight
122,tonight
123,tonight
124,you
125,you
126,you
127,you
128,oohooh
129,oohooh
130,ooooh
131,oohooh
132,you
133,oohooh
