,Eternal Flame_The Bangles
0,close
1,eyes
2,give
3,hand
4,darling
5,feel
6,heart
7,beating
8,understand
9,feel
10,dreaming
11,burning
12,eternal
13,flame
14,believe
15,meant
16,darling
17,watch
18,sleeping
19,belong
20,feel
21,dreaming
22,burning
23,eternal
24,flame
25,say
26,name
27,sun
28,shines
29,rain
30,whole
31,life
32,lonely
33,come
34,ease
35,pain
36,want
37,lose
38,feeling
39,oh
40,say
41,name
42,sun
43,shines
44,rain
45,whole
46,life
47,lonely
48,come
49,ease
50,pain
51,want
52,lose
53,feeling
54,oh
55,close
56,eyes
57,give
58,hand
59,feel
60,heart
61,beating
62,understand
63,feel
64,dreaming
65,burning
66,eternal
67,flame
68,close
69,eyes
70,give
71,hand
72,darling
73,feel
74,heart
75,beating
76,understand
77,feel
78,dreaming
79,burning
80,eternal
81,flame
82,close
83,eyes
84,give
85,hand
86,darling
87,feel
88,heart
89,beating
90,understand
91,feel
92,dreaming
93,ah
94,eternal
95,flame
96,close
97,eyes
98,give
99,hand
100,darling
101,feel
102,heart
103,beating
104,understand
105,feel
106,dreaming
107,ah
108,burning
109,eternal
110,flame
111,close
112,eyes
113,give
114,hand
115,darling
