,Kiss Of Life_Sade
0,must
1,angel
2,my
3,side
4,something
5,heavenly
6,led
7,me
8,you
9,look
10,sky
11,colour
12,love
13,must
14,angel
15,my
16,side
17,something
18,heavenly
19,came
20,he
21,led
22,me
23,you
24,he
25,led
26,me
27,you
28,he
29,built
30,your
31,heart
32,way
33,many
34,tonnes
35,love
36,inside
37,i
38,can't
39,say
40,i
41,led
42,you
43,i
44,knew
45,you
46,one
47,me
48,i
49,swear
50,whole
51,world
52,could
53,feel
54,my
55,heartbeat
56,i
57,lay
58,eyes
59,you
60,iiiii
61,you
62,wrap
63,me
64,colour
65,love
66,you
67,gave
68,me
69,kiss
70,life
71,kiss
72,life
73,you
74,gave
75,me
76,kiss
77,that's
78,like
79,kiss
80,life
81,saxophone
82,solo
83,clear
84,start
85,look
86,sky
87,full
88,love
89,yeah
90,sky
91,full
92,love
93,he
94,built
95,your
96,heart
97,way
98,many
99,tonnes
100,love
101,inside
102,i
103,can't
104,say
105,you
106,gave
107,me
108,kiss
109,life
110,kiss
111,life
112,you
113,gave
114,me
115,kiss
116,that's
117,like
118,kiss
119,life
120,you
121,gave
122,me
123,kiss
124,life
125,kiss
126,life
127,you
128,gave
129,me
130,kiss
131,that's
132,like
133,kiss
134,life
135,saxophone
136,solo
137,you
138,gave
139,me
140,kiss
141,life
142,kiss
143,life
144,oh
145,yeah
146,you
147,gave
148,me
149,kiss
150,that's
151,like
152,kiss
153,life
154,you
155,wrapped
156,me
157,colour
158,love
159,moonlight
160,baby
161,must
162,angel
163,came
164,giving
165,me
166,love
167,yeah
168,giving
169,me
170,love
171,yeah
172,you
173,gave
174,me
175,kiss
176,life
177,kiss
178,life
179,you
180,gave
181,me
182,kiss
183,life
