,One in a Million_Aaliyah
0,missy
1,elliott
2,love
3,babe
4,love
5,babe
6,love
7,babe
8,love
9,babe
10,love
11,babe
12,love
13,babe
14,love
15,babe
16,love
17,babe
18,love
19,babe
20,love
21,babe
22,love
23,babe
24,love
25,babe
26,aaliyah
27,baby
28,you
29,know
30,you
31,me
32,me
33,you
34,i
35,feel
36,chemistry
37,i
38,let
39,one
40,come
41,take
42,your
43,place
44,'cause
45,love
46,you
47,give
48,can't
49,replaced
50,see
51,one
52,else
53,love
54,me
55,like
56,you
57,that's
58,i
59,mind
60,spend
61,my
62,life
63,you
64,i
65,wanna
66,please
67,you
68,anyway
69,i
70,i
71,wanna
72,share
73,my
74,world
75,you
76,understand
77,aaliyah
78,your
79,love
80,one
81,million
82,goes
83,you
84,give
85,me
86,really
87,good
88,feelin'
89,day
90,long
91,your
92,love
93,one
94,million
95,goes
96,you
97,give
98,me
99,really
100,good
101,feelin'
102,day
103,long
104,aaliyah
105,turn
106,me
107,inside
108,make
109,my
110,heart
111,speak
112,need
113,one
114,else
115,you're
116,i
117,need
118,personality
119,everything
120,you
121,makes
122,me
123,love
124,everything
125,you
126,your
127,smile
128,your
129,style
130,fly
131,i
132,can't
133,deny
134,i
135,got
136,crush
137,you
138,that's
139,true
140,indeed
141,i'm
142,diggin'
143,you
144,you
145,make
146,me
147,believe
148,aaliyah
149,your
150,love
151,one
152,million
153,goes
154,you
155,give
156,me
157,really
158,good
159,feelin'
160,day
161,long
162,your
163,love
164,one
165,million
166,goes
167,you
168,give
169,me
170,really
171,good
172,feelin'
173,day
174,long
175,aaliyah
176,i'll
177,give
178,you
179,anything
180,you
181,want
182,me
183,anything
184,you
185,want
186,anything
187,you
188,need
189,anything
190,your
191,soul
192,desires
193,i'll
194,give
195,you
196,anything
197,you
198,want
199,me
200,anything
201,you
202,want
203,anything
204,you
205,need
206,anything
207,your
208,soul
209,desires
210,anything
211,'cause—
212,aaliyah
213,your
214,love
215,one
216,million
217,goes
218,you
219,give
220,me
221,really
222,good
223,feelin'
224,day
225,long
226,your
227,love
228,one
229,million
230,goes
231,you
232,give
233,me
234,really
235,good
236,feelin'
237,day
238,long
239,your
240,love
241,one
242,million
243,goes
244,you
245,give
246,me
247,really
248,good
249,feelin'
250,day
251,long
252,your
253,love
254,one
255,million
256,goes
257,you
258,give
259,me
260,really
261,good
262,feelin'
263,day
264,long
265,missy
266,elliott
267,love
268,babe
269,love
270,babe
271,love
272,babe…
