,Marry Me_Train
0,forever
1,never
2,long
3,enough
4,me
5,feel
6,like
7,i've
8,long
9,enough
10,you
11,forget
12,world
13,let
14,see
15,there's
16,one
17,thing
18,left
19,prechorus
20,weight
21,lifted
22,love
23,surely
24,shifted
25,my
26,way
27,marry
28,me
29,today
30,everyday
31,marry
32,me
33,i
34,ever
35,get
36,nerve
37,say
38,hello
39,cafe
40,say
41,you
42,mmhm
43,say
44,you
45,mmhm
46,together
47,never
48,close
49,enough
50,me
51,feel
52,like
53,i
54,close
55,enough
56,you
57,you
58,wear
59,white
60,i
61,'ll
62,wear
63,words
64,i
65,love
66,you
67,you're
68,beautiful
69,prehook
70,variation
71,wait
72,love
73,finally
74,shown
75,her
76,my
77,way
78,marry
79,me
80,today
81,everyday
82,marry
83,me
84,i
85,ever
86,get
87,nerve
88,say
89,hello
90,cafe
91,say
92,you
93,mmhm
94,say
95,you
96,mmhm
97,promise
98,me
99,you'll
100,always
101,happy
102,my
103,side
104,i
105,promise
106,sing
107,you
108,music
109,dies
110,marry
111,me
112,today
113,everyday
114,marry
115,me
116,i
117,ever
118,get
119,nerve
120,say
121,hello
122,cafe
123,say
124,you
125,mmhm
126,say
127,you
128,mmhm
129,marry
130,me
131,mmhm
