,Treacherous_Taylor Swift
0,put
1,your
2,lips
3,close
4,mine
5,long
6,touch
7,focus
8,eye
9,eye
10,'til
11,gravity's
12,much
13,i'll
14,anything
15,you
16,say
17,you
18,say
19,your
20,hands
21,i'd
22,smart
23,walk
24,away
25,you're
26,quicksand
27,slope
28,treacherous
29,path
30,reckless
31,slope
32,treacherous
33,iii
34,like
35,i
36,can't
37,decide
38,choice
39,getting
40,swept
41,away
42,i
43,hear
44,sound
45,my
46,voice
47,asking
48,you
49,stay
50,skin
51,bone
52,trained
53,get
54,along
55,forever
56,going
57,flow
58,you're
59,friction
60,slope
61,treacherous
62,path
63,reckless
64,slope
65,treacherous
66,i
67,i
68,i
69,like
70,two
71,headlights
72,shine
73,sleepless
74,night
75,i
76,get
77,you
78,get
79,you
80,alone
81,your
82,name
83,echoed
84,my
85,mind
86,i
87,think
88,you
89,think
90,you
91,know
92,nothing
93,safe
94,worth
95,drive
96,i
97,follow
98,you
99,follow
100,you
101,home
102,follow
103,you
104,follow
105,you
106,home
107,hope
108,treacherous
109,daydream
110,dangerous
111,hope
112,treacherous
113,iii
114,iii
115,iii
116,breakdown
117,two
118,headlights
119,shine
120,sleepless
121,night
122,i
123,get
124,you
125,get
126,you
127,alone
128,your
129,name
130,echoed
131,my
132,mind
133,i
134,think
135,you
136,think
137,you
138,know
139,nothing
140,safe
141,worth
142,drive
143,i
144,follow
145,you
146,follow
147,you
148,home
149,follow
150,you
151,follow
152,you
153,home
154,i'll
155,follow
156,you
157,follow
158,you
159,home
160,follow
161,you
162,follow
163,you
164,home
165,slope
166,treacherous
167,iii
168,like
