,Speak Now_Taylor Swift
0,i
1,kind
2,girl
3,rudely
4,barging
5,white
6,veil
7,occasion
8,you
9,kind
10,boy
11,marrying
12,wrong
13,girl
14,i
15,sneak
16,see
17,your
18,friends
19,her
20,snotty
21,little
22,family
23,dressed
24,pastel
25,she
26,yelling
27,bridesmaid
28,somewhere
29,back
30,inside
31,room
32,wearing
33,gown
34,shaped
35,like
36,pastry
37,prechorus
38,surely
39,you
40,thought
41,would
42,i
43,lose
44,myself
45,daydream
46,i
47,stand
48,say
49,say
50,yes
51,run
52,away
53,i'll
54,meet
55,you
56,you're
57,church
58,back
59,door
60,wait
61,say
62,single
63,vow
64,you
65,need
66,hear
67,me
68,said
69,speak
70,fond
71,gestures
72,exchanged
73,organ
74,starts
75,play
76,song
77,sounds
78,like
79,death
80,march
81,i
82,hiding
83,curtains
84,seems
85,i
86,uninvited
87,your
88,lovely
89,bridetobe
90,prechorus
91,she
92,floats
93,aisle
94,like
95,pageant
96,queen
97,i
98,know
99,you
100,wish
101,me
102,you
103,wish
104,me
105,you
106,say
107,yes
108,run
109,away
110,i'll
111,meet
112,you
113,you're
114,church
115,back
116,door
117,wait
118,say
119,single
120,vow
121,you
122,need
123,hear
124,me
125,said
126,speak
127,say
128,yes
129,run
130,away
131,i'll
132,meet
133,you
134,you're
135,church
136,back
137,door
138,wait
139,say
140,single
141,vow
142,your
143,time
144,running
145,said
146,speak
147,interlude
148,ooh
149,ladadada
150,oh
151,ooh
152,ooh
153,say
154,single
155,vow
156,i
157,hear
158,preacher
159,say
160,speak
161,forever
162,hold
163,your
164,peace
165,there's
166,silence
167,there's
168,my
169,last
170,chance
171,i
172,stand
173,shaking
174,hands
175,eyes
176,me
177,horrified
178,looks
179,everyone
180,room
181,i'm
182,looking
183,you
184,i
185,kind
186,girl
187,rudely
188,barging
189,white
190,veil
191,occasion
192,you
193,kind
194,boy
195,marrying
196,wrong
197,girl
198,hehe
199,say
200,yes
201,run
202,away
203,i'll
204,meet
205,you
206,you're
207,church
208,back
209,door
210,wait
211,say
212,single
213,vow
214,you
215,need
216,hear
217,me
218,said
219,speak
220,variation
221,you
222,say
223,let's
224,run
225,away
226,i'll
227,meet
228,you
229,i'm
230,my
231,tux
232,back
233,door
234,baby
235,i
236,say
237,my
238,vows
239,glad
240,you
241,around
242,said
243,speak
