,Radio_Lana Del Rey
0,even
1,stop
2,me
3,boy
4,i
5,flying
6,overhead
7,heavy
8,words
9,can't
10,bring
11,me
12,boy
13,i've
14,raised
15,dead
16,prechorus
17,one
18,even
19,knows
20,hard
21,life
22,i
23,even
24,think
25,i've
26,finally
27,found
28,you
29,oh
30,sing
31,me
32,my
33,life
34,sweet
35,like
36,cinnamon
37,like
38,fucking
39,dream
40,i'm
41,living
42,baby
43,love
44,me
45,'cause
46,i'm
47,playing
48,radio
49,you
50,like
51,me
52,lick
53,me
54,take
55,me
56,like
57,vitamin
58,'cause
59,my
60,body's
61,sweet
62,like
63,sugar
64,venom
65,oh
66,yeah
67,baby
68,love
69,me
70,'cause
71,i'm
72,playing
73,radio
74,you
75,like
76,me
77,american
78,dreams
79,came
80,true
81,somehow
82,i
83,swore
84,i'd
85,chase
86,'em
87,'til
88,i
89,dead
90,i
91,heard
92,streets
93,paved
94,gold
95,that's
96,my
97,father
98,said
99,prechorus
100,one
101,even
102,knows
103,life
104,like
105,i'm
106,la
107,paradise
108,i've
109,finally
110,found
111,you
112,oh
113,sing
114,me
115,my
116,life
117,sweet
118,like
119,cinnamon
120,like
121,fucking
122,dream
123,i'm
124,living
125,baby
126,love
127,me
128,'cause
129,i'm
130,playing
131,radio
132,you
133,like
134,me
135,lick
136,me
137,take
138,me
139,like
140,vitamin
141,'cause
142,my
143,body's
144,sweet
145,like
146,sugar
147,venom
148,oh
149,yeah
150,baby
151,love
152,me
153,'cause
154,i'm
155,playing
156,radio
157,you
158,like
159,me
160,radio
161,radio
162,sweet
163,like
164,cinnamon
165,like
166,fucking
167,dream
168,i'm
169,living
170,baby
171,love
172,me
173,'cause
174,i'm
175,playing
176,radio
177,you
178,like
179,me
180,radio
181,radio
182,sweet
183,like
184,cinnamon
185,like
186,fucking
187,dream
188,i'm
189,living
190,i've
191,finally
192,found
193,you
194,oh
195,sing
196,me
197,my
198,life
199,sweet
200,like
201,cinnamon
202,like
203,fucking
204,dream
205,i'm
206,living
207,baby
208,love
209,me
210,'cause
211,i'm
212,playing
213,radio
214,you
215,like
216,me
217,lick
218,me
219,take
220,me
221,like
222,vitamin
223,'cause
224,my
225,body's
226,sweet
227,like
228,sugar
229,venom
230,oh
231,yeah
232,baby
233,love
234,me
235,'cause
236,i'm
237,playing
238,radio
239,you
240,like
241,me
242,oh
243,sing
244,me
245,my
246,life
247,sweet
248,like
249,cinnamon
250,like
251,fucking
252,dream
253,i'm
254,living
255,baby
256,love
257,me
258,'cause
259,i'm
260,playing
261,radio
262,you
263,like
264,me
265,lick
266,me
267,take
268,me
269,like
270,vitamin
271,'cause
272,my
273,body's
274,sweet
275,like
276,sugar
277,venom
278,oh
279,yeah
280,baby
281,love
282,me
283,'cause
284,i'm
285,playing
286,radio
287,you
288,like
289,me
