,Wings_Birdy
0,sunlight
1,comes
2,creepin'
3,illuminates
4,skin
5,watched
6,day
7,go
8,stories
9,made
10,me
11,think
12,you
13,made
14,me
15,think
16,you
17,trillion
18,stars
19,danced
20,top
21,cars
22,took
23,pictures
24,stage
25,far
26,made
27,me
28,think
29,you
30,made
31,me
32,think
33,you
34,oh
35,lights
36,go
37,moment
38,we're
39,lost
40,found
41,i
42,wanna
43,your
44,side
45,wings
46,could
47,fly
48,rest
49,lives
50,i'm
51,foreign
52,state
53,my
54,thoughts
55,slip
56,away
57,my
58,words
59,leavin'
60,me
61,caught
62,aeroplane
63,i
64,thought
65,you
66,thought
67,you
68,oh
69,lights
70,go
71,moment
72,we're
73,lost
74,found
75,i
76,wanna
77,your
78,side
79,wings
80,could
81,fly
82,oh
83,damn
84,walls
85,moment
86,we're
87,ten
88,feet
89,tall
90,you
91,told
92,me
93,we'd
94,remember
95,tonight
96,rest
97,lives
98,interlude
99,wings
100,could
101,fly
102,oh
103,lights
104,go
105,moment
106,we're
107,lost
108,found
109,i
110,wanna
111,your
112,side
113,wings
114,could
115,fly
116,oh
117,damn
118,walls
119,moment
120,we're
121,ten
122,feet
123,tall
124,you
125,told
126,me
127,we'd
128,remember
129,tonight
130,rest
131,lives
