,Never Tear Us Apart_INXS
0,ask
1,me
2,you
3,know
4,true
5,tell
6,you
7,i
8,love
9,your
10,precious
11,heart
12,i
13,i
14,standing
15,you
16,two
17,worlds
18,collided
19,could
20,never
21,tear
22,us
23,apart
24,could
25,live
26,thousand
27,years
28,i
29,hurt
30,you
31,i'd
32,make
33,wine
34,your
35,tears
36,i
37,told
38,you
39,could
40,fly
41,cause
42,wings
43,us
44,know
45,ii
46,standing
47,you
48,two
49,worlds
50,collided
51,could
52,never
53,ever
54,tear
55,us
56,apart
57,i
58,i
59,standing
60,you
61,two
62,worlds
63,collided
64,could
65,never
66,ever
67,tear
68,us
69,apart
70,i
71,i
72,standing
73,you
74,two
75,worlds
76,collided
77,could
78,never
79,tear
80,us
81,apart
82,you
83,standing
84,i
85,two
86,worlds
87,collided
88,could
89,never
90,tear
91,us
92,apart
93,i
94,standing
95,you
