,It's Not Up to You_Björk
0,i
1,wake
2,day
3,feels
4,broken
5,i
6,tilt
7,my
8,head
9,i'm
10,trying
11,get
12,angle
13,'cause
14,evening
15,i've
16,always
17,longed
18,could
19,still
20,happen
21,prechorus
22,i
23,master
24,perfect
25,day
26,six
27,glasses
28,water
29,seven
30,phone
31,calls
32,you
33,leave
34,alone
35,might
36,happen
37,anyway
38,you
39,oh
40,never
41,really
42,you
43,oh
44,never
45,really
46,you
47,well
48,never
49,really
50,you
51,you
52,wake
53,day
54,feels
55,abroken
56,lean
57,crack
58,lean
59,crack
60,tremble
61,ever
62,nicely
63,notice
64,sparkles
65,prechorus
66,i
67,decide
68,i
69,give
70,me
71,i
72,get
73,given
74,unthinkable
75,surprises
76,happen
77,you
78,you
79,well
80,never
81,really
82,you
83,oh
84,never
85,really
86,you
87,oh
88,never
89,really
90,you
91,oh
92,me
93,share
94,you
95,you
96,you
97,oh
98,never
99,really
100,you
101,well
102,never
103,really
104,you
105,you
106,you
107,you
108,there's
109,much
110,clinging
111,peak
112,there's
113,much
114,pressure
