,"Archie, Marry Me_Alvvays"
0,expressed
1,explicitly
2,contempt
3,matrimony
4,student
5,loans
6,pay
7,risk
8,alimony
9,spend
10,days
11,locked
12,room
13,content
14,inside
15,bubble
16,nighttime
17,go
18,scour
19,streets
20,trouble
21,hey
22,hey
23,marry
24,archie
25,hey
26,hey
27,marry
28,archie
29,summer
30,take
31,sailing
32,atlantic
33,set
34,sights
35,seas
36,need
37,panic
38,honey
39,take
40,hand
41,sign
42,papers
43,forget
44,invitations
45,floral
46,arrangements
47,bread
48,makers
49,hey
50,hey
51,marry
52,archie
53,hey
54,hey
55,marry
56,archie
57,bridge
58,late
59,go
60,young
61,stay
62,they're
63,talking
64,us
65,living
66,sin
67,hey
68,hey
69,marry
70,archie
71,hey
72,hey
73,marry
74,archie
75,hey
76,hey
77,marry
78,archie
79,hey
80,hey
81,a-r-c-h-i-e
82,oh
83,yeah
