,Your Bruise_Death Cab for Cutie
0,backwards
1,attraction
2,your
3,forward
4,eyes
5,you're
6,farsighted
7,you
8,can't
9,place
10,trust
11,you
12,recognize
13,sped
14,plymouth
15,'cross
16,banks
17,mississippi
18,river
19,mary
20,timony
21,smaller
22,superball
23,chitterchatter
24,secrets
25,started
26,giving
27,me
28,shivers
29,plain
30,simply
31,broken
32,near
33,olympia
34,x3
35,i
36,think
37,your
38,bruise
39,understated
40,cause
41,you
42,can't
43,feel
44,anymore
45,getting
46,bluer
47,you
48,can't
49,keep
50,faking
51,you
52,can't
53,feel
54,anymore
