,I Will Always Love You_Whitney Houston
0,i
1,stay
2,i
3,would
4,your
5,way
6,i'll
7,go
8,i
9,know
10,i'll
11,think
12,you
13,every
14,step
15,way
16,i
17,always
18,love
19,you
20,i
21,always
22,love
23,you
24,you
25,my
26,darling
27,you
28,bittersweet
29,memories
30,i'm
31,taking
32,me
33,goodbye
34,please
35,cry
36,know
37,i'm
38,you
39,you
40,need
41,i
42,always
43,love
44,you
45,i
46,always
47,love
48,you
49,you
50,i
51,hope
52,life
53,treats
54,you
55,kind
56,i
57,hope
58,you
59,you've
60,dreamed
61,i
62,wish
63,you
64,joy
65,happiness
66,i
67,wish
68,you
69,love
70,i
71,always
72,love
73,you
74,i
75,always
76,love
77,you
78,i
79,always
80,love
81,you
82,i
83,always
84,love
85,you
86,i
87,always
88,love
89,you
90,i
91,i
92,always
93,love
94,you
95,you
96,darling
97,i
98,love
99,you
100,i'll
101,always
102,i'll
103,always
104,love
105,you
