,Hungry Eyes_Eric Carmen
0,i've
1,meaning
2,tell
3,you
4,i've
5,got
6,feeling
7,subside
8,i
9,look
10,you
11,i
12,fantasize
13,you're
14,mine
15,tonight
16,i've
17,got
18,you
19,my
20,sights
21,hungry
22,eyes
23,one
24,look
25,you
26,i
27,can't
28,disguise
29,i've
30,got
31,hungry
32,eyes
33,i
34,feel
35,magic
36,you
37,i
38,i
39,want
40,hold
41,you
42,hear
43,me
44,i
45,want
46,show
47,you
48,love's
49,darling
50,tonight
51,i've
52,got
53,you
54,my
55,sights
56,hungry
57,eyes
58,one
59,look
60,you
61,i
62,can't
63,disguise
64,i've
65,got
66,hungry
67,eyes
68,i
69,feel
70,magic
71,you
72,i
73,i've
74,got
75,hungry
76,eyes
77,i've
78,got
79,you
80,my
81,sights
82,hungry
83,eyes
84,i
85,take
86,you
87,surprise
88,i
89,need
90,you
91,see
92,love
93,meant
94,i've
95,got
96,hungry
97,eyes
98,one
99,look
100,you
101,i
102,can't
103,disguise
104,i've
105,got
106,hungry
107,eyes
108,i
109,feel
110,magic
111,you
112,i
113,i've
114,got
115,hungry
116,eyes
117,i've
118,got
119,you
120,my
121,sights
122,hungry
123,eyes
124,i
125,take
126,you
127,surprise
128,my
129,hungry
130,eyes
131,i've
132,got
133,hungry
134,eyes
135,i've
136,got
137,you
138,my
139,sights
140,my
141,hungry
142,eyes
