,Honestly?_American Football
0,honestly
1,i
2,can't
3,remember
4,teen
5,dreams
6,my
7,teenage
8,feelings
9,meanings
10,seemed
11,seethrough
12,true
13,who's
14,why's
15,why's
16,why's
17,unclear
18,unclear
19,picture
20,long
21,awaited
22,sickening
23,kiss
24,feel
25,explain
26,know
27,we've
28,rewritten
29,history
30,things
31,change
32,despite
33,complicated
34,beginning
35,honestly
