,All Along_Kid Cudi
0,hey
1,mamama
2,mamoon
3,hey
4,mamama
5,mamoon
6,days
7,change
8,my
9,attitude
10,i'm
11,messy
12,home
13,i
14,eat
15,lot
16,junk
17,food
18,nights
19,change
20,my
21,nightmares
22,i
23,dream
24,reality
25,my
26,dream
27,along
28,along
29,i
30,guess
31,i'm
32,meant
33,alone
34,along
35,along
36,i
37,guess
38,i'm
39,meant
40,alone
41,my
42,yeah
43,weeks
44,change
45,rumors
46,change
47,i'm
48,addicted
49,highs
50,would
51,you
52,like
53,know
54,months
55,change
56,my
57,love
58,point
59,views
60,i
61,want
62,i
63,need
64,i
65,need
66,hates
67,me
68,i
69,need
70,hates
71,me
72,i
73,know
74,along
75,along
76,i
77,know
78,i'm
79,meant
80,alone
81,crazy
82,along
83,along
84,i
85,knew
86,i
87,meant
88,alone
89,my
90,yeah
91,suppose
92,somehow
93,lionhearted
94,failed
95,win
96,villain
97,strangers
98,voted
99,him
100,suppose
101,somehow
102,lionhearted
103,failed
104,smile
105,villain
106,strangers
107,voted
108,him
109,along
110,along
111,i
112,guess
113,i'm
114,meant
115,alone
116,along
117,along
118,i
119,guess
120,i'm
121,meant
122,alone
123,my
124,yeah
