,Kill for Love_Chromatics
0,everybody’s
1,got
2,secret
3,hide
4,everyone
5,slipping
6,backwards
7,drank
8,water
9,felt
10,alright
11,took
12,pill
13,almost
14,every
15,night
16,mind
17,waiting
18,change
19,world
20,stayed
21,everybody’s
22,got
23,secret
24,hide
25,everyone
26,slipping
27,backwards
28,hook
29,can’t
30,remember
31,like
32,said
33,can’t
34,remember
35,went
36,straight
37,head
38,kept
39,bottle
40,foot
41,bed
42,put
43,pillow
44,right
45,top
46,head
47,killed
48,love
49,musical
50,interlude
51,everybody’s
52,got
53,secret
54,hide
55,everyone
56,slipping
57,backwards
58,say
59,see
60,almost
61,every
62,time
63,little
64,number
65,counting
66,back
67,nine
68,can’t
69,remember
70,like
71,said
72,can’t
73,remember
74,went
75,straight
76,head
77,killed
78,love
