,What Becomes Of The Brokenhearted_Jimmy Ruffin
0,{intro}
1,walk
2,land
3,broken
4,dreams
5,visions
6,many
7,things
8,happiness
9,illusion
10,filled
11,sadness
12,confusion
13,becomes
14,brokenhearted
15,love
16,that's
17,departed
18,know
19,i've
20,got
21,find
22,kind
23,peace
24,mind
25,maybe
26,roots
27,love
28,grow
29,around
30,come
31,tumblin'
32,every
33,day
34,heartaches
35,grow
36,little
37,stronger
38,can't
39,stand
40,pain
41,much
42,longer
43,walk
44,shadows
45,searching
46,light
47,cold
48,alone
49,comfort
50,sight
51,hoping
52,praying
53,someone
54,care
55,always
56,moving
57,going
58,nowhere
59,becomes
60,brokenhearted
61,love
62,that's
63,departed
64,know
65,i've
66,got
67,find
68,kind
69,peace
70,mind
71,help
72,i'm
73,searching
74,though
75,succeed
76,someone
77,look
78,there's
79,growing
80,need
81,lost
82,there's
83,place
84,beginning
85,that's
86,left
87,unhappy
88,ending
89,becomes
90,broken-hearted
91,love
92,that's
93,departed
94,know
95,i've
96,got
97,find
98,kind
99,peace
100,mind
101,i'll
102,searching
103,everywhere
104,find
105,someone
106,care
107,outro
108,i'll
109,looking
110,everyday
111,know
112,i'm
113,gonna
114,find
115,way
116,nothing's
117,gonna
118,stop
119,i'll
120,find
121,way
122,somehow
123,i'll
124,searching
125,everywhere
