,A Song for the Lovers_Richard Ashcroft
0,i
1,spend
2,night
3,yeah
4,looking
5,my
6,insides
7,hotel
8,room
9,waiting
10,you
11,we're
12,gonna
13,make
14,tonight
15,yeah
16,something
17,air
18,tells
19,me
20,time
21,right
22,better
23,get
24,dj
25,play
26,song
27,lovers
28,tonight
29,please
30,play
31,song
32,lovers
33,tonight
34,wanna
35,wait
36,lord
37,i've
38,waiting
39,my
40,life
41,i'm
42,late
43,i
44,know
45,i
46,scared
47,can't
48,you
49,see
50,oh
51,i'm
52,moving
53,like
54,train
55,foreign
56,land
57,i
58,ain't
59,got
60,ticket
61,ride
62,i
63,oh
64,song
65,my
66,lovers
67,tonight
68,dj
69,play
70,song
71,lovers
72,tonight
73,dj
74,play
75,song
76,lovers
77,tonight
78,please
79,play
80,song
81,lovers
82,tonight
83,can't
84,stop
85,looking
86,back
87,oh
88,dj
89,play
90,song
91,lovers
92,tonight
93,one
94,lovers
95,please
96,play
97,song
98,lovers
99,tonight
100,one
101,lovers
102,van't
103,stop
104,looking
105,back
106,oh
107,oh
108,brother
109,you
110,lend
111,hand
112,i'm
113,alone
114,room
115,i'm
116,waiting
117,love
118,i
119,know
120,dreams
121,gonna
122,stop
123,i
124,tell
125,you
126,friend
127,i
128,wanna
129,get
130,please
131,play
132,song
133,lovers
134,tonight
135,oh
136,brother
137,you
138,lend
139,hand
140,i'm
141,alone
142,room
143,i'm
144,waiting
145,love
146,i
147,know
148,dreams
149,gonna
150,stop
151,i
152,tell
153,you
154,friend
155,i
156,wanna
157,get
