,Not Like the Movies_Katy Perry
0,he
1,put
2,me
3,i
4,put
5,like
6,nothing
7,wrong
8,fit
9,right
10,size
11,say
12,you
13,know
14,you
15,know
16,i
17,know
18,prechorus
19,i
20,feel
21,fairytale
22,feeling
23,i
24,stupid
25,girl
26,even
27,dreaming
28,i
29,could
30,like
31,movies
32,that's
33,yeah
34,he's
35,one
36,i'll
37,come
38,undone
39,my
40,world
41,stop
42,spinning
43,that's
44,beginning
45,yeah
46,snow
47,white
48,said
49,i
50,young
51,one
52,day
53,my
54,prince
55,come
56,i
57,wait
58,date
59,say
60,hard
61,meet
62,your
63,match
64,gotta
65,find
66,my
67,better
68,half
69,make
70,perfect
71,shapes
72,prechorus
73,stars
74,align
75,stop
76,time
77,you
78,can't
79,see
80,sign
81,wait
82,one
83,hundred
84,percent
85,worth
86,every
87,penny
88,spent
89,he'll
90,one
91,finishes
92,your
93,sentences
94,like
95,movies
96,that's
97,yeah
98,he's
99,one
100,he'll
101,come
102,undone
103,my
104,world
105,stop
106,spinning
107,that's
108,beginning
109,ohoh
110,yeah
111,'cause
112,i
113,know
114,you're
115,you're
116,you're
117,looking
118,me
119,ohohoh
120,crazy
121,idea
122,you
123,made
124,perfectly
125,me
126,you
127,see
128,like
129,movies
130,that's
131,cinematic
132,dramatic
133,perfect
134,ending
135,ohh
136,like
137,movies
138,oh
139,that's
140,yeah
141,he's
142,one
143,you'll
144,come
145,undone
146,your
147,world
148,stop
149,spinning
150,beginning
