,You're Gonna Make Me Lonesome When You Go_Bob Dylan
0,i’ve
1,seen
2,love
3,go
4,door
5,it’s
6,never
7,close
8,never
9,easy
10,slow
11,i've
12,shooting
13,dark
14,long
15,something’s
16,right
17,it’s
18,wrong
19,gonna
20,make
21,lonesome
22,go
23,dragon
24,clouds
25,high
26,i’ve
27,known
28,careless
29,love
30,always
31,hit
32,time
33,'round
34,it’s
35,correct
36,right
37,target
38,direct
39,gonna
40,make
41,lonesome
42,go
43,purple
44,clover
45,queen
46,anne's
47,lace
48,crimson
49,hair
50,across
51,face
52,could
53,make
54,cry
55,don’t
56,know
57,can’t
58,remember
59,thinking
60,might
61,spoilin’
62,much
63,love
64,gonna
65,make
66,lonesome
67,go
68,bridge
69,flowers
70,hillside
71,blooming
72,crazy
73,crickets
74,talking
75,back
76,forth
77,rhyme
78,blue
79,river
80,running
81,slow
82,lazy
83,could
84,stay
85,forever
86,never
87,realize
88,time
89,situations
90,ended
91,sad
92,relationships
93,bad
94,mine’ve
95,like
96,verlaine’s
97,rimbaud
98,there’s
99,way
100,compare
101,scenes
102,affair
103,gonna
104,make
105,lonesome
106,go
107,bridge
108,gonna
109,make
110,wonder
111,i’m
112,doin’
113,staying
114,far
115,behind
116,without
117,gonna
118,make
119,wonder
120,i’m
121,sayin’
122,gonna
123,make
124,give
125,good
126,talking-to
127,i’ll
128,look
129,old
130,honolulu
131,san
132,francisco
133,ashtabula
134,gonna
135,leave
136,know
137,i’ll
138,see
139,sky
140,tall
141,grass
142,ones
143,love
144,gonna
145,make
146,lonesome
147,go
