,I Don't Want to Get Over You_The Magnetic Fields
0,click
1,read
2,stephin's
3,account
4,making
5,i
6,want
7,get
8,you
9,i
10,want
11,get
12,you
13,i
14,guess
15,i
16,could
17,take
18,sleeping
19,pill
20,sleep
21,go
22,i
23,go
24,i
25,guess
26,i
27,take
28,prozac
29,right
30,smile
31,night
32,somebody
33,new
34,somebody
35,bright
36,sweet
37,kind
38,would
39,try
40,get
41,you
42,my
43,mind
44,i
45,could
46,leave
47,agony
48,behind
49,i'd
50,i
51,wanted
52,i
53,want
54,get
55,you
56,cause
57,i
58,want
59,get
60,love
61,i
62,could
63,listen
64,my
65,therapist
66,pretend
67,you
68,exist
69,dream
70,i
71,dream
72,i
73,could
74,listen
75,my
76,friends
77,go
78,pretend
79,enough
80,i
81,could
82,make
83,career
84,blue
85,i
86,could
87,dress
88,black
89,read
90,camus
91,smoke
92,clove
93,cigarettes
94,drink
95,vermouth
96,like
97,i
98,would
99,scream
100,i
101,want
102,get
103,you
