,#41_Dave Matthews Band
0,come
1,see
2,i
3,swear
4,i'm
5,playing
6,time
7,against
8,my
9,troubles
10,oh
11,i'm
12,coming
13,slow
14,speeding
15,you
16,wish
17,dance
18,i'm
19,front
20,play
21,time
22,oh
23,difficulty's
24,coming
25,i
26,go
27,way
28,find
29,my
30,way
31,i
32,tell
33,you
34,begin
35,i'm
36,coming
37,much
38,me
39,ghosts
40,come
41,back
42,reeling
43,you
44,oh
45,came
46,crushing
47,remember
48,i
49,used
50,play
51,loneliness
52,nobody
53,notices
54,i'm
55,begging
56,slow
57,i'm
58,coming
59,waiting
60,i
61,wanted
62,stay
63,i
64,wanted
65,play
66,i
67,wanted
68,love
69,you
70,i'm
71,far
72,tomorrow
73,leads
74,way
75,i'm
76,coming
77,waltzing
78,back
79,moving
80,your
81,head
82,please
83,i
84,pass
85,oh
86,i
87,take
88,sort
89,man
90,goes
91,i
92,bring
93,water
94,you
95,ever
96,glad
97,melts
98,wonder
99,i
100,came
101,praying
102,you
103,you
104,run
105,rain
106,play
107,let
108,tears
109,splash
110,you
