,The Gift_Angels & Airwaves
0,there's
1,strangest
2,excitement
3,today
4,awake
5,welcome
6,hear
7,got
8,gift
9,blew
10,away
11,far
12,eastern
13,sea
14,straight
15,oh
16,god
17,feel
18,like
19,i'm
20,like
21,rush
22,gone
23,straight
24,brain
25,voice
26,lonely
27,loud
28,whisper
29,joy
30,pain
31,pre-chorus
32,suddenly
33,done
34,time
35,i'll
36,stop
37,storm
38,rains
39,i'll
40,light
41,path
42,far
43,i'll
44,make
45,fear
46,melt
47,away
48,world
49,know
50,disappear
51,ask
52,say
53,night
54,get
55,twist
56,smile
57,way
58,left
59,arms
60,confused
61,oh
62,god
63,feel
64,like
65,i'm
66,kiss
67,wonderfully
68,vain
69,swear
70,i'll
71,melt
72,touch
73,i'll
74,ask
75,pre-chorus
76,suddenly
77,done
78,time
79,i'll
80,stop
81,storm
82,rains
83,i'll
84,light
85,path
86,far
87,i'll
88,make
89,fear
90,melt
91,away
92,world
93,know
94,disappear
95,i'll
96,stop
97,storm
98,rains
99,i'll
100,light
101,path
102,far
103,i'll
104,make
105,fear
106,melt
107,away
108,world
109,know
110,disappear
111,i'll
112,stop
113,storm
114,rains
115,i'll
116,light
117,path
118,far
119,i'll
120,make
121,fear
122,melt
123,away
124,world
125,know
126,disappear
127,i'll
128,stop
129,storm
130,rains
131,i'll
132,light
133,path
134,far
135,i'll
136,make
137,fear
138,melt
139,away
140,world
141,know
142,disappear
143,make
144,world
145,know
146,disappear
