,Ex-Factor_Lauryn Hill
0,yo
1,yyo
2,yo
3,yyo
4,yo
5,uh
6,yo
7,yyo
8,yo
9,yyo
10,could
11,simple
12,bababababy
13,baby
14,baby
15,you'd
16,rather
17,make
18,hard
19,huh
20,uh
21,loving
22,you
23,like
24,battle
25,like
26,battle
27,end
28,scars
29,prechorus
30,tell
31,me
32,i
33,i
34,get
35,reciprocity
36,see
37,one
38,loves
39,you
40,me
41,me
42,one
43,ever
44,one
45,ever
46,yeah
47,silly
48,game
49,silly
50,game
51,forces
52,you
53,act
54,way
55,act
56,way
57,forces
58,you
59,scream
60,my
61,name
62,pretend
63,you
64,can't
65,stay
66,yeah
67,prechorus
68,tell
69,me
70,i
71,i
72,know
73,gotta
74,get
75,reciprocity
76,see
77,one
78,loves
79,you
80,me
81,one
82,ever
83,matter
84,i
85,think
86,grow
87,you
88,always
89,seem
90,let
91,me
92,know
93,ain't
94,working
95,ain't
96,working
97,ain't
98,working
99,i
100,try
101,walk
102,away
103,you'd
104,hurt
105,yourself
106,make
107,me
108,stay
109,crazy
110,crazy
111,oh
112,crazy
113,uhhuh
114,i
115,keep
116,letting
117,you
118,back
119,you
120,back
121,i
122,explain
123,myself
124,i
125,understand
126,painful
127,thing
128,i
129,can't
130,one
131,else
132,prechorus
133,see
134,i
135,know
136,we've
137,got
138,yeah
139,you
140,let
141,go
142,you
143,let
144,go
145,i'll
146,let
147,go
148,i'll
149,let
150,go
151,cause
152,one's
153,hurt
154,me
155,you
156,one's
157,hurt
158,me
159,you
160,one
161,ever
162,matter
163,i
164,think
165,grow
166,you
167,always
168,seem
169,let
170,me
171,know
172,ain't
173,working
174,ain't
175,working
176,ain't
177,working
178,ain't
179,working
180,i
181,try
182,walk
183,away
184,you'd
185,hurt
186,yourself
187,make
188,me
189,stay
190,crazy
191,crazy
192,oh
193,crazy
194,crazy
195,breakdown
196,care
197,care
198,me
199,care
200,me
201,i
202,know
203,you
204,care
205,me
206,me
207,me
208,said
209,you'd
210,me
211,cry
212,cry
213,me
214,cry
215,me
216,you
217,said
218,you'd
219,die
220,me
221,give
222,give
223,me
224,give
225,me
226,you
227,live
228,me
229,care
230,care
231,me
232,care
233,me
234,you
235,said
236,you'd
237,care
238,me
239,me
240,me
241,said
242,you'd
243,me
244,cry
245,cry
246,me
247,cry
248,me
249,you
250,said
251,you'd
252,die
253,me
254,give
255,give
256,me
257,give
258,me
259,you
260,live
261,me
262,care
263,care
264,me
265,care
266,me
267,you
268,said
269,you'd
270,care
271,me
272,me
273,me
274,said
275,you'd
276,me
277,cry
278,cry
279,me
280,cry
281,me
282,you
283,said
284,you'd
285,die
286,me
287,give
288,give
289,me
290,give
291,me
292,you
293,live
294,me
295,care
296,care
297,me
298,care
299,me
300,you
301,said
302,you'd
303,care
304,me
305,me
306,me
307,said
308,you'd
309,me
310,cry
311,give
312,me
313,give
314,me
315,you
316,live
317,me
318,give
319,cry
320,me
321,cry
322,me
323,you
324,said
325,you'd
326,die
327,me
328,care
329,cry
330,you
331,give
332,i
333,needed
334,you
335,care
336,cry
337,give
338,guitar
339,solo
340,da
341,da
342,da
343,dda
344,dda
345,you
346,da
347,da
348,da
349,dda
350,dda
351,i
352,needed
353,you
354,da
355,da
356,da
357,dda
358,dda
359,you
360,da
361,da
362,da
363,dda
364,dda
365,you
366,you
367,you
368,you
369,you
370,da
371,da
372,da
373,dda
374,dda
375,you
376,da
377,da
378,da
379,dda
380,dda
381,da
382,da
383,da
384,dda
385,dda
386,da
387,da
388,da
389,dda
390,dda
391,da
392,da
393,da
394,dda
395,dda
396,da
397,da
398,da
399,dda
400,dda
401,da
402,da
403,da
404,dda
405,dda
406,da
407,da
408,da
409,dda
410,dda
