,Two of Us_The Beatles
0,dig
1,pygmy
2,charles
3,hawtrey
4,deaf
5,aids
6,phase
7,one
8,doris
9,gets
10,oats
11,two
12,us
13,riding
14,nowhere
15,spending
16,someone's
17,hard
18,earned
19,pay
20,sunday
21,driving
22,arriving
23,way
24,back
25,home
26,we're
27,way
28,home
29,we're
30,way
31,home
32,we're
33,going
34,home
35,two
36,us
37,sending
38,postcards
39,writing
40,letters
41,wall
42,burning
43,matches
44,lifting
45,latches
46,way
47,back
48,home
49,we're
50,way
51,home
52,we're
53,way
54,home
55,we're
56,going
57,home
58,bridge
59,memories
60,longer
61,road
62,stretches
63,ahead
64,two
65,us
66,wearing
67,raincoats
68,standing
69,solo
70,sun
71,chasing
72,paper
73,getting
74,nowhere
75,way
76,back
77,home
78,we're
79,way
80,home
81,we're
82,way
83,home
84,we're
85,going
86,home
87,bridge
88,memories
89,longer
90,road
91,stretches
92,ahead
93,two
94,us
95,wearing
96,raincoats
97,standing
98,solo
99,sun
100,chasing
101,paper
102,getting
103,nowhere
104,way
105,back
106,home
107,we're
108,way
109,home
110,we're
111,way
112,home
113,we're
114,going
115,home
116,outro
117,we're
118,going
119,home
120,better
121,believe
122,goodbye
