,The Calculation_Regina Spektor
0,you
1,went
2,kitchen
3,cupboard
4,got
5,yourself
6,another
7,hour
8,gave
9,half
10,me
11,sat
12,looking
13,faces
14,strangers
15,pages
16,'til
17,knew
18,mathematically
19,prechorus
20,minds
21,forever
22,mind
23,know
24,better
25,made
26,computer
27,macaroni
28,pieces
29,thinking
30,lived
31,lives
32,counted
33,feelings
34,divided
35,even
36,called
37,calculation
38,perfect
39,love
40,prechorus
41,even
42,know
43,love
44,bigger
45,even
46,know
47,love
48,hey
49,hey
50,hey
51,hey
52,fire
53,burning
54,burning
55,us
56,hey
57,fire
58,burning
59,burning
60,us
61,made
62,hard
63,decision
64,made
65,incision
66,past
67,muscles
68,bones
69,saw
70,hearts
71,little
72,stones
73,pulled
74,beating
75,even
76,bleeding
77,lay
78,granite
79,counter
80,top
81,prechorus
82,beat
83,against
84,beat
85,against
86,struck
87,hard
88,against
89,struck
90,hard
91,hard
92,sparked
93,hey
94,fire
95,burning
96,burning
97,us
98,hey
99,fire
100,burning
101,burning
102,us
103,hey
104,fire
105,burning
106,burning
107,us
108,oooh
109,ohh
110,oooh
111,oooh
112,ohh
113,oooh
114,oooh
115,ohh
116,oooh
117,oooh
118,ohh
119,oooh
