,Company_Justin Bieber
0,keep
1,keep
2,company
3,maybe
4,other's
5,company
6,oh
7,company
8,let's
9,end
10,other's
11,lonely
12,nights
13,other's
14,paradise
15,need
16,picture
17,frame
18,someone
19,share
20,reign
21,tell
22,wanna
23,drink
24,i'll
25,tell
26,got
27,mind
28,oh
29,know
30,name
31,feel
32,like
33,that's
34,gonna
35,change
36,pre-chorus
37,ain't
38,gotta
39,lover
40,call
41,baby
42,never
43,pressure
44,ain't
45,serious
46,keep
47,keep
48,company
49,oh
50,maybe
51,other's
52,company
53,oh
54,company
55,post-chorus
56,oooooooooh
57,oooooooooh
58,oooooooooh
59,oooooooooh
60,ain't
61,complications
62,i'm
63,elevation
64,keep
65,goin'
66,oh
67,miss
68,us
69,wanna
70,conversation
71,forget
72,obligations
73,maybe
74,stay
75,touch
76,oh
77,ain't
78,doin'
79,much
80,pre-chorus
81,ain't
82,gotta
83,lover
84,call
85,baby
86,never
87,pressure
88,ain't
89,serious
90,keep
91,keep
92,company
93,maybe
94,other's
95,company
96,oh
97,company
98,post-chorus
99,yeah
100,yeah
101,oooooooooooh
102,oooooooooooh
103,oooooooooooh
104,oooooooooooh
105,other's
106,company
107,other's
108,company
109,oh
110,other's
111,company
112,others
113,company
114,oh
115,oh-oh-oh
116,keep
117,keep
118,company
119,oh
120,maybe
121,other's
122,company
123,oh
124,company
