,Digital Love_Daft Punk
0,produced
1,daft
2,punk
3,last
4,night
5,i
6,dream
7,you
8,dream
9,i'm
10,dancing
11,right
12,beside
13,you
14,looked
15,like
16,everyone
17,fun
18,kind
19,feeling
20,i've
21,waited
22,long
23,stop
24,come
25,little
26,closer
27,jam
28,rhythm
29,gets
30,stronger
31,there's
32,nothing
33,wrong
34,little
35,little
36,fun
37,dancing
38,night
39,long
40,time
41,right
42,put
43,my
44,arms
45,around
46,you
47,you're
48,feeling
49,right
50,you
51,wrap
52,your
53,arms
54,around
55,suddenly
56,i
57,feel
58,shining
59,sun
60,i
61,knew
62,dream
63,gone
64,ooh
65,i
66,know
67,dream
68,you
69,i
70,wish
71,dream
72,comes
73,true
74,ooh
75,i
76,know
77,dream
78,you
79,we'll
80,make
81,dream
82,come
83,true
84,you
85,play
86,game
87,you
88,play
89,game
