,"Flightless Bird, American Mouth_Iron & Wine"
0,i
1,quick
2,wet
3,boy
4,diving
5,deep
6,coins
7,your
8,street
9,light
10,eyes
11,wide
12,my
13,plastic
14,toys
15,cops
16,closed
17,fair
18,i
19,cut
20,my
21,long
22,baby
23,hair
24,stole
25,me
26,dogeared
27,map
28,called
29,you
30,everywhere
31,i
32,found
33,you
34,flightless
35,bird
36,jealous
37,weeping
38,lost
39,you
40,american
41,mouth
42,big
43,pill
44,looming
45,i'm
46,fat
47,house
48,cat
49,nursing
50,my
51,sore
52,blunt
53,tongue
54,watching
55,warm
56,poison
57,rats
58,curl
59,wide
60,fence
61,cracks
62,pissing
63,magazine
64,photos
65,fishing
66,lures
67,thrown
68,cold
69,clean
70,blood
71,christ
72,mountain
73,stream
74,i
75,found
76,you
77,flightless
78,bird
79,grounded
80,bleeding
81,lost
82,you
83,american
84,mouth
85,big
86,pill
87,stuck
88,going
