,Superstar_Carpenters
0,long
1,ago
2,oh
3,far
4,away
5,i
6,fell
7,love
8,you
9,second
10,show
11,your
12,guitar
13,sounds
14,sweet
15,clear
16,you're
17,really
18,radio
19,you
20,remember
21,you
22,told
23,me
24,you
25,loved
26,me
27,baby
28,you
29,said
30,you'd
31,coming
32,back
33,way
34,baby
35,baby
36,baby
37,baby
38,baby
39,oh
40,baby
41,i
42,love
43,you
44,i
45,really
46,loneliness
47,sad
48,affair
49,i
50,hardly
51,wait
52,you
53,say
54,make
55,you
56,come
57,come
58,back
59,me
60,play
61,your
62,sad
63,guitar
64,you
65,remember
66,you
67,told
68,me
69,you
70,loved
71,me
72,baby
73,you
74,said
75,you'd
76,coming
77,back
78,way
79,baby
80,baby
81,baby
82,baby
83,baby
84,oh
85,baby
86,i
87,love
88,you
89,i
90,really
91,you
92,remember
93,you
94,told
95,me
96,you
97,loved
98,me
99,baby
100,you
101,said
102,you'd
103,coming
104,back
105,way
106,baby
107,baby
108,baby
109,baby
110,baby
111,oh
112,baby
113,i
114,love
115,you
116,i
117,really
