,Body Electric_Lana Del Rey
0,elvis
1,daddy
2,marilyn's
3,mother
4,jesus
5,bestest
6,friend
7,need
8,nobody
9,'cause
10,got
11,least
12,pretend
13,pre-chorus
14,get
15,every
16,friday
17,night
18,dancing
19,grinding
20,pale
21,moonlight
22,grand
23,ole
24,opry
25,we're
26,feeling
27,alright
28,mary
29,prays
30,rosary
31,broken
32,mind
33,said
34,"""don't"
35,worry
36,'bout
37,"it"""
38,sing
39,body
40,electric
41,sing
42,body
43,electric
44,baby
45,sing
46,body
47,electric
48,sing
49,body
50,electric
51,sing
52,body
53,electric
54,sing
55,body
56,electric
57,i'm
58,fire
59,sing
60,body
61,electric
62,whitman
63,daddy
64,monaco's
65,mother
66,diamonds
67,bestest
68,friend
69,heaven
70,baby
71,suicide's
72,father
73,opulence
74,end
75,pre-chorus
76,get
77,every
78,friday
79,night
80,dancing
81,grinding
82,pale
83,moonlight
84,grand
85,ole
86,opry
87,we're
88,feeling
89,alright
90,mary
91,prays
92,rosary
93,broken
94,mind
95,said
96,"""dont"
97,worry
98,'bout
99,"it"""
100,sing
101,body
102,electric
103,sing
104,body
105,electric
106,baby
107,sing
108,body
109,electric
110,sing
111,body
112,electric
113,sing
114,body
115,electric
116,sing
117,body
118,electric
119,i'm
120,fire
121,sing
122,body
123,electric
124,bridge
125,clothes
126,still
127,smell
128,like
129,photographs
130,say
131,still
132,young
133,pretend
134,i'm
135,hurt
136,go
137,world
138,like
139,i'm
140,fun
141,pre-chorus
142,get
143,crazy
144,every
145,friday
146,night
147,drop
148,like
149,hot
150,pale
151,moonlight
152,grand
153,ole
154,opry
155,we're
156,feeling
157,alright
158,mary's
159,swaying
160,softly
161,heart's
162,delight
163,sing
164,body
165,electric
166,sing
167,body
168,electric
169,baby
170,sing
171,body
172,electric
173,sing
174,body
175,electric
176,sing
177,body
178,electric
179,sing
180,body
181,electric
182,i'm
183,fire
184,sing
185,body
186,electric
187,outro
188,sing
189,body
190,electric
191,baby
192,sing
193,body
194,electric
195,baby
196,sing
197,body
198,electric
199,baby
