,Jezebel_Iron & Wine
0,who's
1,seen
2,jezebel
3,born
4,woman
5,would
6,know
7,hold
8,like
9,breeze
10,half
11,tight
12,eyes
13,closed
14,who's
15,seen
16,jezebel
17,went
18,walking
19,cedars
20,line
21,road
22,blouse
23,ground
24,dogs
25,hungry
26,roaming
27,saying
28,"""wait"
29,swear
30,we'll
31,love
32,wholly
33,jezebel
34,"only"""
35,who's
36,seen
37,jezebel
38,born
39,woman
40,could
41,blame
42,make
43,beast
44,half
45,brave
46,i'd
47,who's
48,seen
49,jezebel
50,gone
51,ever
52,got
53,say
54,"""lay"
55,love
56,shape
57,i'll
58,pray
59,"jezebel"""
60,who's
61,seen
62,jezebel
63,mountain
64,last
65,long
66,wait
67,wait
68,like
69,dawn
70,aches
71,meet
72,day
73,who's
74,seen
75,jezebel
76,certainly
77,spark
78,i've
79,done
80,window
81,wide
82,could
83,see
84,dogs
85,come
86,running
87,saying
88,"""wait"
89,swear
90,we'll
91,love
92,wholly
93,jezebel
94,"only"""
