,Angels_Robbie Williams
0,sit
1,wait
2,angel
3,contemplate
4,fate
5,know
6,places
7,go
8,we're
9,grey
10,old
11,cause
12,told
13,salvation
14,lets
15,wings
16,unfold
17,i'm
18,lying
19,bed
20,thoughts
21,running
22,head
23,feel
24,love
25,dead
26,i'm
27,loving
28,angels
29,instead
30,offers
31,protection
32,lot
33,love
34,affection
35,whether
36,i'm
37,right
38,wrong
39,waterfall
40,wherever
41,may
42,take
43,know
44,life
45,break
46,come
47,call
48,forsake
49,i'm
50,loving
51,angels
52,instead
53,i'm
54,feeling
55,weak
56,pain
57,walks
58,one-way
59,street
60,look
61,know
62,i'll
63,always
64,blessed
65,love
66,feeling
67,grows
68,breathes
69,flesh
70,bones
71,love
72,dead
73,i'm
74,loving
75,angels
76,instead
77,offers
78,protection
79,lot
80,love
81,affection
82,whether
83,i'm
84,right
85,wrong
86,waterfall
87,wherever
88,may
89,take
90,know
91,life
92,break
93,come
94,call
95,forsake
96,instrumental
97,bridge
98,i'm
99,loving
100,angels
101,instead
102,offers
103,protection
104,lot
105,love
106,affection
107,whether
108,i'm
109,right
110,wrong
111,waterfall
112,wherever
113,may
114,take
115,know
116,life
117,break
118,come
119,call
120,forsake
121,i'm
122,loving
123,angels
124,instead
