,Mess Is Mine_Vance Joy
0,verse1
1,talking
2,like
3,used
4,always
5,shaping
6,shipping
7,check
8,check
9,like
10,walking
11,rain
12,think
13,love
14,think
15,pain
16,tell
17,see
18,choose
19,believe
20,well
21,hold
22,darling
23,body
24,body
25,mine
26,well
27,hold
28,darling
29,mess
30,mess
31,mine
32,ah-oooh
33,mess
34,mine
35,see
36,marketplace
37,walkin
38,'round
39,got
40,two
41,hours
42,flight
43,luck
44,side
45,tonight
46,reason
47,feel
48,strong
49,reason
50,i'm
51,hanging
52,know
53,gave
54,time
55,give
56,enough
57,mine
58,well
59,hold
60,darling
61,body
62,body
63,mine
64,well
65,hold
66,darling
67,mess
68,mess
69,mine
70,ah-oooh
71,mess
72,mine
73,mess
74,mine
75,bridge
76,bring
77,house
78,tell
79,"""sorry"
80,"mess"""
81,hey
82,mind
83,talking
84,sleep
85,time
86,well
87,still
88,make
89,sense
90,mess
91,mine
92,ah-oooh
93,mess
94,mine
95,body
96,body
97,mine
98,oooh
99,mess
100,mine
101,mess
102,mine
