,Somewhere Only We Know_Keane
0,i
1,walked
2,across
3,empty
4,land
5,i
6,knew
7,pathway
8,like
9,back
10,my
11,hand
12,i
13,felt
14,earth
15,beneath
16,my
17,feet
18,sat
19,river
20,made
21,me
22,complete
23,prechorus
24,oh
25,simple
26,thing
27,you
28,gone
29,i'm
30,getting
31,old
32,i
33,need
34,something
35,rely
36,tell
37,me
38,you're
39,gonna
40,let
41,me
42,i'm
43,getting
44,tired
45,i
46,need
47,somewhere
48,begin
49,i
50,came
51,across
52,fallen
53,tree
54,i
55,felt
56,branches
57,looking
58,me
59,place
60,used
61,love
62,place
63,i've
64,dreaming
65,prechorus
66,oh
67,simple
68,thing
69,you
70,gone
71,i'm
72,getting
73,old
74,i
75,need
76,something
77,rely
78,tell
79,me
80,you're
81,gonna
82,let
83,me
84,i'm
85,getting
86,tired
87,i
88,need
89,somewhere
90,begin
91,you
92,minute
93,go
94,talk
95,somewhere
96,know
97,could
98,end
99,everything
100,go
101,somewhere
102,know
103,somewhere
104,know
105,prechorus
106,oh
107,simple
108,thing
109,you
110,gone
111,i'm
112,getting
113,old
114,i
115,need
116,something
117,rely
118,tell
119,me
120,you're
121,gonna
122,let
123,me
124,i'm
125,getting
126,tired
127,i
128,need
129,somewhere
130,begin
131,you
132,minute
133,go
134,talk
135,somewhere
136,know
137,could
138,end
139,everything
140,go
141,go
142,ooh
143,aah
144,could
145,end
146,everything
147,go
148,somewhere
149,know
150,somewhere
151,know
152,somewhere
153,know
