,You & Me (feat. Eliza Doolittle)_Disclosure
0,i’ll
1,giving
2,oh
3,home
4,heart
5,i
6,gave
7,you
8,paper
9,bag
10,even
11,though
12,it’s
13,tarnished
14,you
15,told
16,me
17,it’s
18,best
19,you
20,ever
21,you
22,got
23,my
24,secret
25,combination
26,i
27,don’t
28,giving
29,easily
30,my
31,deepest
32,dedication
33,you
34,tell
35,you
36,brought
37,me
38,please
39,don’t
40,let
41,go
42,cause
43,you
44,know
45,exactly
46,found
47,please
48,don’t
49,let
50,go
51,my
52,darling
53,you
54,keep
55,me
56,locked
57,underground
58,it’s
59,gonna
60,you
61,me
62,it’s
63,gonna
64,everything
65,you’ve
66,ever
67,dreamed
68,it’s
69,gonna
70,me
71,it’s
72,gonna
73,everything
74,everything
75,we’re
76,meant
77,we’re
78,meant
79,rolling
80,punches
81,won’t
82,get
83,inside
84,happiness
85,love
86,always
87,hunted
88,your
89,arrows
90,soaring
91,my
92,chest
93,cause
94,you
95,know
96,you
97,give
98,me
99,something
100,yeah
101,you
102,give
103,me
104,exactly
105,i
106,need
107,got
108,my
109,blood
110,pumping
111,you
112,know
113,you
114,always
115,draw
116,blood
117,i
118,bleed
119,please
120,don’t
121,let
122,go
123,cause
124,you
125,know
126,exactly
127,found
128,please
129,don’t
130,let
131,go
132,my
133,darling
134,you
135,keep
136,me
137,locked
138,underground
139,it’s
140,gonna
141,you
142,me
143,it’s
144,gonna
145,everything
146,you’ve
147,ever
148,dreamed
149,it’s
150,gonna
151,me
152,it’s
153,gonna
154,everything
155,everything
156,we’re
157,meant
158,we’re
159,meant
160,your
161,big
162,house
163,hills
164,you
165,keep
166,your
167,dollar
168,bills
169,you
170,stashed
171,my
172,heart
173,somewhere
174,dark
175,keep
176,safe
177,i
178,know
179,you
180,know
181,you
182,know
183,you
184,know
185,you
186,i
187,know
188,you
