,Here's to Never Growing Up_Avril Lavigne
0,singin'
1,radiohead
2,top
3,lungs
4,boombox
5,blarin'
6,we're
7,fallin'
8,love
9,i
10,got
11,bottle
12,whatever
13,it’s
14,gettin'
15,us
16,drunk
17,singin'
18,here's
19,never
20,growing
21,call
22,friends
23,go
24,hard
25,weekend
26,damn
27,reason
28,i
29,think
30,we'll
31,ever
32,change
33,meet
34,you
35,spot
36,half
37,past
38,ten
39,o'clock
40,ever
41,stop
42,we're
43,never
44,gonna
45,change
46,prechorus
47,say
48,you
49,say
50,forever
51,stay
52,you
53,stay
54,forever
55,hey
56,stay
57,forever
58,young
59,singin'
60,radiohead
61,top
62,lungs
63,boombox
64,blaring
65,we're
66,fallin'
67,love
68,i
69,got
70,bottle
71,whatever
72,it’s
73,gettin'
74,us
75,drunk
76,singin'
77,here's
78,never
79,growing
80,we'll
81,running
82,street
83,yelling
84,kiss
85,my
86,ass
87,i'm
88,like
89,yeah
90,whatever
91,we’re
92,still
93,living
94,like
95,sun's
96,going
97,we'll
98,raising
99,cups
100,singin'
101,here's
102,never
103,growing
104,oh
105,whoa
106,oh
107,whoa
108,here's
109,never
110,growing
111,oh
112,whoa
113,oh
114,whoa
115,here's
116,never
117,growing
118,live
119,like
120,rock
121,stars
122,dance
123,every
124,bar
125,i
126,think
127,we'll
128,ever
129,change
130,hell
131,say
132,grow
133,know
134,us
135,give
136,fuck
137,we're
138,never
139,gonna
140,change
141,prechorus
142,say
143,you
144,say
145,forever
146,stay
147,you
148,stay
149,forever
150,hey
151,stay
152,forever
153,young
154,singin'
155,radiohead
156,top
157,lungs
158,boombox
159,blarin'
160,we're
161,fallin'
162,love
163,got
164,bottle
165,whatever
166,it’s
167,gettin'
168,us
169,drunk
170,singin'
171,here's
172,never
173,growing
174,we'll
175,running
176,street
177,yelling
178,kiss
179,my
180,ass
181,i'm
182,like
183,yeah
184,whatever
185,we’re
186,still
187,living
188,like
189,sun's
190,going
191,we'll
192,raising
193,cups
194,singin'
195,here's
196,never
197,growing
198,oh
199,whoa
200,oh
201,whoa
202,here's
203,never
204,growing
205,oh
206,whoa
207,oh
208,whoa
209,here's
210,never
211,growing
212,breakdown
213,say
214,you
215,say
216,forever
217,stay
218,you
219,stay
220,forever
221,hey
222,stay
223,forever
224,young
225,oh
226,singin'
227,radiohead
228,top
229,lungs
230,boombox
231,blarin'
232,we're
233,fallin'
234,love
235,got
236,bottle
237,whatever
238,it’s
239,gettin'
240,us
241,drunk
242,singin'
243,here's
244,never
245,growing
246,we'll
247,running
248,street
249,yelling
250,kiss
251,my
252,ass
253,i'm
254,like
255,yeah
256,whatever
257,we’re
258,still
259,living
260,like
261,sun's
262,going
263,we'll
264,raising
265,cups
266,singin'
267,here's
268,never
269,growing
270,oh
271,whoa
272,oh
273,whoa
274,here's
275,never
276,growing
277,oh
278,whoa
279,oh
280,whoa
281,raise
282,your
283,glass
284,say
285,here's
286,never
287,growing
288,oh
289,whoa
290,oh
291,whoa
292,here's
293,never
294,growing
295,we're
296,never
297,growing
298,oh
299,whoa
300,oh
301,whoa
302,here's
303,never
304,growing
