,No Ordinary Love_Sade
0,gave
1,love
2,got
3,gave
4,could
5,give
6,gave
7,love
8,gave
9,inside
10,took
11,love
12,took
13,love
14,pre-chorus
15,tell
16,believe
17,somebody
18,say
19,love
20,like
21,last
22,give
23,i've
24,got
25,give
26,baby
27,gave
28,love
29,got
30,gave
31,could
32,give
33,gave
34,love
35,gave
36,inside
37,took
38,love
39,took
40,love
41,hook
42,keep
43,crying
44,keep
45,trying
46,there's
47,nothing
48,like
49,baby
50,ordinary
51,love
52,ordinary
53,love
54,ordinary
55,love
56,ordinary
57,love
58,came
59,way
60,brightened
61,every
62,day
63,sweet
64,smile
65,pre-chorus
66,tell
67,believe
68,somebody
69,say
70,love
71,like
72,last
73,give
74,i've
75,got
76,give
77,baby
78,ordinary
79,love
80,ordinary
81,love
82,ordinary
83,love
84,ordinary
85,love
86,hook
87,keep
88,crying
89,keep
90,trying
91,there's
92,nothing
93,like
94,baby
95,ordinary
96,love
97,ordinary
98,love
99,ordinary
100,love
101,ordinary
102,love
103,outro
104,keep
105,trying
106,keep
107,crying
108,keep
109,flying
110,keep
111,flying
112,i'm
113,falling
114,keep
115,trying
116,keep
117,crying
118,keep
119,flying
120,keep
121,flying
122,i'm
123,falling
124,i'm
125,falling
