,I Got You_Jack Johnson
0,back
1,my
2,little
3,goals
4,seemed
5,important
6,every
7,pot
8,gold
9,feeling
10,full
11,distortion
12,heaven
13,place
14,still
15,space
16,motion
17,soon
18,i
19,got
20,you
21,i
22,got
23,everything
24,i’ve
25,got
26,you
27,i
28,don’t
29,need
30,nothing
31,you
32,i
33,got
34,everything
35,i’ve
36,got
37,you
38,went
39,walking
40,hills
41,trying
42,pretend
43,know
44,maybe
45,save
46,could
47,build
48,little
49,home
50,hailstorm
51,came
52,yelled
53,“you
54,need
55,let
56,go
57,you
58,got
59,control
60,i
61,got
62,you
63,i
64,got
65,everything
66,i’ve
67,got
68,you
69,i
70,don’t
71,need
72,nothing
73,you
74,i
75,got
76,everything
77,i’ve
78,got
79,you
80,weight’s
81,much
82,alone
83,days
84,i
85,can’t
86,hold
87,you
88,take
89,me
90,tomorrow’s
91,much
92,i’ll
93,carry
94,i
95,got
96,you
97,yea
98,tomorrow’s
99,much
100,i’ll
101,carry
102,i
103,got
104,you
105,i
106,got
107,you
108,i
109,got
110,everything
111,i’ve
112,got
113,you
114,i
115,don’t
116,need
117,nothing
118,you
119,i
120,got
121,everything
122,i’ve
123,got
124,you
