,Love on Top_Beyoncé
0,bring
1,beat
2,honey
3,honey
4,i
5,see
6,stars
7,way
8,can't
9,you
10,see
11,glow
12,window
13,pane
14,i
15,feel
16,sun
17,whenever
18,you're
19,near
20,every
21,time
22,you
23,touch
24,me
25,i
26,melt
27,away
28,prechorus
29,everybody
30,asks
31,me
32,i'm
33,smiling
34,ear
35,ear
36,say
37,love
38,hurts
39,i
40,know
41,gonna
42,take
43,little
44,work
45,oh
46,nothing's
47,perfect
48,worth
49,fighting
50,my
51,tears
52,finally
53,you
54,put
55,me
56,first
57,baby
58,you
59,you're
60,one
61,i
62,love
63,you're
64,one
65,i
66,need
67,you're
68,one
69,i
70,see
71,come
72,baby
73,you
74,you're
75,one
76,gives
77,your
78,you're
79,one
80,i
81,always
82,call
83,i
84,need
85,you
86,make
87,everything
88,stop
89,finally
90,you
91,put
92,my
93,love
94,top
95,postchorus
96,ooh
97,come
98,baby
99,you
100,put
101,my
102,love
103,top
104,top
105,top
106,top
107,top
108,you
109,put
110,my
111,love
112,top
113,ooh
114,come
115,baby
116,you
117,put
118,my
119,love
120,top
121,top
122,top
123,top
124,top
125,you
126,put
127,my
128,love
129,top
130,baby
131,baby
132,i
133,feel
134,wind
135,whipping
136,past
137,my
138,face
139,dance
140,night
141,away
142,boy
143,your
144,lips
145,taste
146,like
147,night
148,champagne
149,i
150,kiss
151,you
152,prechorus
153,everybody
154,asks
155,me
156,i'm
157,smiling
158,ear
159,ear
160,say
161,love
162,hurts
163,i
164,know
165,gonna
166,take
167,little
168,work
169,oh
170,nothing's
171,perfect
172,worth
173,fighting
174,my
175,tears
176,finally
177,you
178,put
179,me
180,first
181,baby
182,you
183,you're
184,one
185,i
186,love
187,you're
188,one
189,i
190,need
191,you're
192,one
193,i
194,see
195,come
196,baby
197,you
198,you
199,you're
200,one
201,gives
202,your
203,you're
204,one
205,i
206,always
207,call
208,i
209,need
210,you
211,make
212,everything
213,stop
214,finally
215,you
216,put
217,my
218,love
219,top
220,postchorus
221,ooh
222,baby
223,you
224,put
225,my
226,love
227,top
228,top
229,top
230,top
231,top
232,you
233,put
234,my
235,love
236,top
237,ooh
238,come
239,baby
240,you
241,put
242,my
243,love
244,top
245,top
246,top
247,top
248,top
249,you
250,put
251,my
252,love
253,top
254,baby
255,you
256,you're
257,one
258,i
259,love
260,you're
261,one
262,i
263,need
264,you're
265,thing
266,i
267,see
268,come
269,baby
270,you
271,you
272,you're
273,one
274,gives
275,your
276,you're
277,one
278,always
279,call
280,i
281,need
282,you
283,baby
284,everything
285,stops
286,finally
287,you
288,put
289,my
290,love
291,top
292,baby
293,you're
294,one
295,i
296,love
297,baby
298,you're
299,i
300,need
301,you're
302,one
303,i
304,see
305,come
306,baby
307,you
308,you're
309,one
310,gives
311,your
312,you're
313,one
314,i
315,always
316,call
317,i
318,need
319,you
320,make
321,everything
322,stop
323,finally
324,you
325,put
326,my
327,love
328,top
329,baby
330,'cause
331,you're
332,one
333,i
334,love
335,baby
336,you're
337,one
338,i
339,need
340,you're
341,one
342,i
343,see
344,baby
345,baby
346,you
347,you're
348,one
349,gives
350,your
351,you're
352,one
353,always
354,calls
355,i
356,need
357,you
358,everything
359,stops
360,finally
361,you
362,put
363,my
364,love
365,top
366,baby
367,'cause
368,you're
369,one
370,i
371,love
372,baby
373,you're
374,one
375,i
376,need
377,you're
378,one
379,i
380,see
381,baby
382,baby
383,you
384,you're
385,one
386,gives
387,your
388,you're
389,one
390,always
391,calls
392,i
393,need
394,you
395,everything
396,stops
397,finally
398,you
399,put
400,my
401,love
402,top
