,"Gone, Gone, Gone_Phillip Phillips"
0,life
1,leaves
2,you
3,high
4,dry
5,i'll
6,your
7,door
8,tonight
9,you
10,need
11,help
12,you
13,need
14,help
15,i'll
16,shut
17,city
18,lights
19,i'll
20,lie
21,cheat
22,i'll
23,beg
24,bribe
25,make
26,you
27,well
28,make
29,you
30,well
31,enemies
32,your
33,door
34,i'll
35,carry
36,you
37,away
38,war
39,you
40,need
41,help
42,you
43,need
44,help
45,your
46,hope
47,dangling
48,string
49,i'll
50,share
51,your
52,suffering
53,make
54,you
55,well
56,make
57,you
58,well
59,give
60,me
61,reasons
62,believe
63,you
64,would
65,me
66,i
67,you
68,you
69,baby
70,i'm
71,moving
72,i'll
73,love
74,you
75,long
76,you're
77,gone
78,you
79,you
80,you
81,never
82,sleep
83,alone
84,i'll
85,love
86,you
87,long
88,you're
89,gone
90,long
91,you're
92,gone
93,gone
94,gone
95,you
96,fall
97,like
98,statue
99,i'm
100,gon'
101,catch
102,you
103,put
104,you
105,your
106,feet
107,you
108,your
109,feet
110,your
111,well
112,empty
113,thing
114,prevent
115,me
116,tell
117,me
118,you
119,need
120,you
121,need
122,pre
123,i
124,surrender
125,honestly
126,you've
127,always
128,done
129,me
130,i
131,you
132,you
133,baby
134,i'm
135,moving
136,i'll
137,love
138,you
139,long
140,you're
141,gone
142,you
143,you
144,you
145,never
146,sleep
147,alone
148,i'll
149,love
150,you
151,long
152,you're
153,gone
154,long
155,you're
156,gone
157,gone
158,gone
159,you're
160,my
161,backbone
162,you're
163,my
164,cornerstone
165,you're
166,my
167,crutch
168,my
169,legs
170,stop
171,moving
172,you're
173,my
174,head
175,start
176,you're
177,my
178,rugged
179,heart
180,you're
181,pulse
182,i've
183,always
184,needed
185,like
186,drum
187,baby
188,stop
189,beating
190,like
191,drum
192,baby
193,stop
194,beating
195,like
196,drum
197,baby
198,stop
199,beating
200,like
201,drum
202,my
203,heart
204,never
205,stops
206,beating
207,you
208,you
209,baby
210,i'm
211,moving
212,i'll
213,love
214,you
215,long
216,you're
217,gone
218,you
219,you
220,you
221,never
222,sleep
223,alone
224,i'll
225,love
226,you
227,long
228,you're
229,gone
230,you
231,you
232,baby
233,i'm
234,moving
235,i'll
236,love
237,you
238,long
239,you're
240,gone
241,you
242,you
243,you
244,never
245,sleep
246,alone
247,i'll
248,love
249,you
250,long
251,long
252,you're
253,gone
254,like
255,drum
256,baby
257,stop
258,beating
259,like
260,drum
261,baby
262,stop
263,beating
264,like
265,drum
266,baby
267,stop
268,beating
269,like
270,drum
271,my
272,heart
273,never
274,stops
275,beating
276,you
277,long
278,you're
279,gone
280,gone
281,gone
282,i'll
283,love
284,you
285,long
286,you're
287,gone
288,gone
289,gone
