,Unfaithful_Rihanna
0,story
1,my
2,life
3,searching
4,right
5,keeps
6,avoiding
7,me
8,sorrow
9,my
10,soul
11,'cause
12,seems
13,wrong
14,really
15,loves
16,my
17,company
18,he's
19,man
20,love
21,reason
22,sky
23,blue
24,clouds
25,rolling
26,i'm
27,gone
28,him
29,i
30,can't
31,true
32,prechorus
33,i
34,know
35,he
36,knows
37,i'm
38,unfaithful
39,kills
40,him
41,inside
42,know
43,i
44,happy
45,guy
46,i
47,see
48,him
49,dying
50,i
51,wanna
52,anymore
53,i
54,wanna
55,reason
56,every
57,time
58,i
59,walk
60,door
61,i
62,see
63,him
64,die
65,little
66,inside
67,i
68,wanna
69,hurt
70,him
71,anymore
72,i
73,wanna
74,take
75,away
76,his
77,life
78,i
79,wanna
80,murderer
81,i
82,feel
83,air
84,i'm
85,doin'
86,my
87,hair
88,preparing
89,another
90,date
91,kiss
92,upon
93,my
94,cheek
95,he
96,reluctantly
97,asks
98,i'm
99,gonna
100,late
101,i
102,say
103,i
104,long
105,hanging
106,girls
107,lie
108,i
109,tell
110,know
111,i'm
112,go
113,know
114,well
115,prechorus
116,'cause
117,i
118,know
119,he
120,knows
121,i'm
122,unfaithful
123,kills
124,him
125,inside
126,know
127,i
128,happy
129,guy
130,i
131,see
132,him
133,dying
134,i
135,wanna
136,anymore
137,i
138,wanna
139,reason
140,every
141,time
142,i
143,walk
144,door
145,i
146,see
147,him
148,die
149,little
150,inside
151,i
152,wanna
153,hurt
154,him
155,anymore
156,i
157,wanna
158,take
159,away
160,his
161,life
162,i
163,wanna
164,murderer
165,love
166,his
167,trust
168,i
169,might
170,well
171,take
172,gun
173,put
174,his
175,head
176,get
177,i
178,wanna
179,anymore
180,whoa
181,anymore
182,i
183,wanna
184,anymore
185,i
186,wanna
187,reason
188,every
189,time
190,i
191,walk
192,door
193,i
194,see
195,him
196,die
197,little
198,inside
199,i
200,wanna
201,hurt
202,him
203,anymore
204,i
205,wanna
206,take
207,away
208,his
209,life
210,i
211,wanna
212,murderer
213,murderer
214,yeah
