,You Found Me_The Fray
0,found
1,god
2,corner
3,first
4,amistad
5,west
6,alone
7,smoking
8,last
9,cigarette
10,said
11,said
12,ask
13,anything
14,everything
15,falling
16,apart
17,days
18,spent
19,telephone
20,never
21,rang
22,needed
23,call
24,never
25,came
26,corner
27,first
28,amistad
29,lost
30,insecure
31,found
32,found
33,lying
34,floor
35,surrounded
36,surrounded
37,why'd
38,wait
39,little
40,late
41,found
42,found
43,end
44,everyone
45,ends
46,alone
47,losing
48,one
49,who's
50,ever
51,known
52,i'm
53,wanna
54,way
55,know
56,long
57,next
58,lost
59,insecure
60,found
61,found
62,lying
63,floor
64,surrounded
65,surrounded
66,why'd
67,wait
68,little
69,late
70,found
71,found
72,early
73,morning
74,city
75,breaks
76,i've
77,calling
78,years
79,years
80,years
81,years
82,never
83,left
84,messages
85,never
86,send
87,letters
88,got
89,kind
90,nerve
91,taking
92,want
93,prechorus
94,lost
95,insecure
96,found
97,found
98,lying
99,floor
100,lost
101,insecure
102,found
103,found
104,lying
105,floor
106,surrounded
107,surrounded
108,why'd
109,wait
110,little
111,late
112,found
113,found
114,why'd
115,wait
116,find
117,find
