,Best I Ever Had_Drake
0,you
1,know
2,lot
3,girls
4,thinkin'
5,my
6,songs
7,get
8,confused
9,one's
10,you
11,baby
12,you
13,my
14,everything
15,you
16,i
17,ever
18,wanted
19,could
20,real
21,big
22,bigger
23,you
24,ever
25,done
26,you
27,everything
28,hoes
29,ain't
30,never
31,i
32,want
33,forever
34,i
35,swear
36,i
37,spend
38,whatever
39,'cause
40,she
41,hold
42,me
43,every
44,time
45,i
46,hit
47,her
48,i
49,get
50,right
51,i
52,promise
53,gon'
54,live
55,she
56,made
57,me
58,beg
59,'til
60,she
61,give
62,i
63,say
64,thing
65,every
66,single
67,time
68,i
69,say
70,you
71,fuckin'
72,best
73,ayy
74,you
75,fuckin'
76,best
77,ayy
78,you
79,fuckin'
80,best
81,ayy
82,you
83,fuckin'
84,best
85,ayy
86,you
87,best
88,i
89,ever
90,ayy
91,best
92,i
93,ever
94,ayy
95,best
96,i
97,ever
98,ayy
99,best
100,i
101,ever
102,i
103,say
104,you
105,fuckin'
106,know
107,you
108,got
109,roommate
110,call
111,me
112,there's
113,one
114,put
115,key
116,mat
117,you
118,know
119,i
120,yup
121,i
122,shawty
123,i
124,i
125,hittin'
126,spots
127,you
128,ain't
129,even
130,know
131,you
132,even
133,ask
134,twice
135,you
136,could
137,my
138,heart
139,could
140,share
141,like
142,last
143,slice
144,always
145,felt
146,like
147,you
148,accustomed
149,fast
150,life
151,nigga
152,thinkin'
153,he
154,met
155,you
156,past
157,life
158,sweatpants
159,hair
160,tied
161,chillin'
162,makeup
163,that's
164,you're
165,prettiest
166,i
167,hope
168,you
169,take
170,wrong
171,you
172,even
173,trip
174,friends
175,say
176,you
177,ain't
178,bringin'
179,drake
180,along
181,you
182,know
183,i'm
184,workin'
185,i'll
186,soon
187,i
188,make
189,home
190,she
191,patient
192,my
193,waiting
194,room
195,never
196,pay
197,attention
198,rumors
199,assume
200,girls
201,prove
202,i'm
203,one
204,never
205,get
206,confused
207,'cause
208,baby
209,you
210,my
211,everything
212,you
213,i
214,ever
215,wanted
216,could
217,real
218,big
219,bigger
220,you
221,ever
222,done
223,you
224,everything
225,hoes
226,ain't
227,never
228,i
229,want
230,forever
231,i
232,swear
233,i
234,spend
235,whatever
236,'cause
237,she
238,hold
239,me
240,every
241,time
242,i
243,hit
244,her
245,i
246,get
247,right
248,i
249,promise
250,gon'
251,live
252,she
253,made
254,me
255,beg
256,'til
257,she
258,give
259,i
260,say
261,thing
262,every
263,single
264,time
265,i
266,say
267,you
268,fuckin'
269,best
270,ayy
271,you
272,fuckin'
273,best
274,ayy
275,you
276,fuckin'
277,best
278,ayy
279,you
280,fuckin'
281,best
282,ayy
283,you
284,best
285,i
286,ever
287,ayy
288,best
289,i
290,ever
291,ayy
292,best
293,i
294,ever
295,ayy
296,best
297,i
298,ever
299,i
300,say
301,you
302,fuckin'
303,sex
304,love
305,pain
306,baby
307,i
308,tank
309,shit
310,buzz
311,big
312,i
313,could
314,probably
315,sell
316,blank
317,disc
318,my
319,album
320,drop
321,bitches'll
322,buy
323,picture
324,niggas'll
325,buy
326,claim
327,got
328,sister
329,magazine
330,paper
331,girl
332,money
333,ain't
334,issue
335,bring
336,dinner
337,my
338,room
339,ask
340,me
341,initial
342,she
343,call
344,me
345,referee
346,'cause
347,i
348,official
349,my
350,shirt
351,ain't
352,got
353,stripes
354,i
355,make
356,your
357,pussy
358,whistle
359,like
360,andy
361,griffith
362,theme
363,song
364,told
365,you
366,put
367,jeans
368,double
369,cup
370,love
371,you
372,one
373,i
374,lean
375,feelin'
376,fix
377,you
378,really
379,get
380,your
381,fiend
382,yeah
383,know
384,my
385,condo
386,crack
387,spot
388,every
389,single
390,show
391,she
392,reppin'
393,like
394,mascot
395,get
396,back
397,make
398,your
399,fuckin'
400,bra
401,strap
402,pop
403,your
404,slot
405,'til
406,nigga
407,hit
408,jackpot
409,i'm
410,saying
411,baby
412,you
413,my
414,everything
415,you
416,i
417,ever
418,wanted
419,could
420,real
421,big
422,bigger
423,you
424,ever
425,done
426,you
427,everything
428,hoes
429,ain't
430,never
431,i
432,want
433,forever
434,i
435,swear
436,i
437,spend
438,whatever
439,'cause
440,she
441,hold
442,me
443,every
444,time
445,i
446,hit
447,her
448,i
449,get
450,right
451,i
452,promise
453,gon'
454,live
455,she
456,made
457,me
458,beg
459,'til
460,she
461,give
462,i
463,say
464,thing
465,every
466,single
467,time
468,i
469,say
470,you
471,fuckin'
472,best
473,ayy
474,you
475,fuckin'
476,best
477,ayy
478,you
479,fuckin'
480,best
481,ayy
482,you
483,fuckin'
484,best
485,ayy
486,you
487,best
488,i
489,ever
490,ayy
491,best
492,i
493,ever
494,ayy
495,best
496,i
497,ever
498,ayy
499,best
500,i
501,ever
502,i
503,say
504,you
505,fuckin'
506,best
507,ayy
508,you
509,fuckin'
510,best
511,ayy
512,you
513,fuckin'
514,best
515,ayy
516,you
517,fuckin'
518,best
519,ayy
520,you
521,best
522,i
523,ever
524,ayy
525,best
526,i
527,ever
528,ayy
529,best
530,i
531,ever
532,ayy
533,best
534,i
535,ever
536,uhh
537,ah
538,yeah
539,see
540,type
541,joint
542,you
543,gotta
544,dedicate
545,somebody
546,make
547,sure
548,special
549,somebody
550,young
551,money
552,yeah
553,yeah
554,you
555,know
556,you
557,i
558,got
559,you
