,Julia_The Beatles
0,half
1,i
2,say
3,meaningless
4,i
5,say
6,reach
7,you
8,julia
9,prechorus
10,julia
11,julia
12,ocean
13,child
14,calls
15,me
16,i
17,sing
18,song
19,love
20,julia
21,prechorus
22,julia
23,seashell
24,eyes
25,windy
26,smile
27,calls
28,me
29,i
30,sing
31,song
32,love
33,julia
34,her
35,hair
36,floating
37,sky
38,shimmering
39,glimmering
40,sun
41,prechorus
42,julia
43,julia
44,morning
45,moon
46,touch
47,me
48,i
49,sing
50,song
51,love
52,julia
53,i
54,cannot
55,sing
56,my
57,heart
58,i
59,speak
60,my
61,mind
62,julia
63,prechorus
64,julia
65,sleeping
66,sand
67,silent
68,cloud
69,touch
70,me
71,i
72,sing
73,song
74,love
75,julia
76,prechorus
77,hmm
78,hmm
79,hmm
80,calls
81,me
82,i
83,sing
84,song
85,love
86,julia
87,julia
88,julia
