,Hey Now_London Grammar
0,hey
1,letters
2,burning
3,my
4,bed
5,you
6,hey
7,i
8,feel
9,my
10,instincts
11,you
12,hey
13,my
14,bed
15,you
16,hey
17,hey
18,oh
19,you
20,know
21,frightening
22,oh
23,you
24,know
25,it’s
26,like
27,lightning
28,hey
29,hey
30,letters
31,burning
32,my
33,bed
34,you
35,hey
36,leave
37,wayside
38,like
39,you
40,you
41,imagination
42,calling
43,mirrors
44,you
45,hey
46,hey
47,oh
48,you
49,know
50,frightening
51,oh
52,you
53,know
54,it’s
55,like
56,lightning
57,hey
58,hey
59,hey
60,hey
