,All I Have to Give_Backstreet Boys
0,nick
1,&
2,brian
3,know
4,make
5,cry
6,i'll
7,make
8,smile
9,fancy
10,car
11,get
12,i'd
13,walk
14,thousand
15,miles
16,care
17,buys
18,nice
19,things
20,gifts
21,come
22,heart
23,know
24,girl
25,i'd
26,make
27,we'd
28,never
29,apart
30,brian
31,&
32,love
33,give
34,without
35,think
36,could
37,live
38,wish
39,could
40,give
41,world
42,love
43,give
44,howie
45,&
46,aj
47,talk
48,seem
49,like
50,he's
51,even
52,listening
53,word
54,say
55,that's
56,okay
57,babe
58,tell
59,problems
60,i'll
61,try
62,best
63,kiss
64,away
65,leave
66,need
67,friends
68,get
69,time
70,baby
71,please
72,i'm
73,knees
74,praying
75,day
76,mine
77,aj
78,&
79,love
80,give
81,without
82,think
83,could
84,live
85,wish
86,could
87,give
88,world
89,love
90,give
91,oh
92,bridge
93,nick
94,howie
95,brian
96,aj
97,kevin
98,&
99,hey
100,girl
101,want
102,cry
103,inside
104,money
105,world
106,could
107,never
108,add
109,love
110,inside
111,inside
112,give
113,give
114,give
115,everything
116,one
117,need
118,love
119,give
120,brian
121,aj
122,&
123,love
124,give
125,love
126,without
127,think
128,could
129,live
130,think
131,live
132,without
133,wish
134,could
135,give
136,world
137,love
138,give
139,love
140,give
141,without
142,think
143,could
144,live
145,wish
146,could
147,give
148,world
149,love
150,give
151,outro
152,nick
153,brian
154,&
155,oooh
156,give
157,without
158,think
159,could
160,live
161,give
162,world
163,baby
164,love
165,give
166,that's
167,got
168,give
169,love
170,give
171,yeah
172,yeah
173,without
174,think
175,could
176,live
177,wish
178,could
179,give
180,world
181,love
182,give
