,Dancing with Tears in My Eyes_Ke$ha
0,go
1,welcome
2,funeral
3,without
4,even
5,pulse
6,alone
7,dark
8,cold
9,every
10,move
11,die
12,go
13,confessional
14,lost
15,cause
16,nobody
17,save
18,soul
19,delusional
20,every
21,move
22,die
23,pre-chorus
24,destroyed
25,love
26,gone
27,payback
28,sick
29,fault
30,i'm
31,dancing
32,tears
33,eyes
34,fighting
35,get
36,night
37,i'm
38,losing
39,every
40,move
41,die
42,i'm
43,faded
44,i'm
45,broken
46,inside
47,i've
48,wasted
49,love
50,life
51,i'm
52,losing
53,every
54,move
55,die
56,become
57,hypocrite
58,double
59,life
60,lies
61,caught
62,trust
63,i'm
64,paying
65,every
66,move
67,die
68,floor
69,i'm
70,zombie
71,wanna
72,i'm
73,tragedy
74,every
75,move
76,die
77,pre-chorus
78,destroyed
79,love
80,gone
81,payback
82,sick
83,fault
84,i'm
85,dancing
86,tears
87,eyes
88,fighting
89,get
90,night
91,i'm
92,losing
93,every
94,move
95,die
96,i'm
97,faded
98,i'm
99,broken
100,inside
101,i've
102,wasted
103,love
104,life
105,i'm
106,losing
107,every
108,move
109,die
110,bridge
111,really
112,gone
113,time
114,never
115,thought
116,i'd
117,pieces
118,left
119,behind
120,i'm
121,dancing
122,tears
123,eyes
124,fighting
125,get
126,night
127,i'm
128,losing
129,every
130,move
131,die
132,i'm
133,faded
134,i'm
135,broken
136,inside
137,i've
138,wasted
139,love
140,life
141,i'm
142,losing
143,every
144,move
145,die
