,Lily (My One And Only)_The Smashing Pumpkins
0,lily
1,my
2,one
3,i
4,hardly
5,wait
6,till
7,i
8,see
9,her
10,silly
11,i
12,know
13,i'm
14,silly
15,cause
16,i'm
17,hanging
18,tree
19,hopes
20,she
21,catch
22,glimpse
23,me
24,thru
25,her
26,window
27,shade
28,i
29,watch
30,her
31,shadow
32,move
33,i
34,wonder
35,she
36,lily
37,my
38,one
39,love
40,my
41,heart
42,your
43,eyes
44,she
45,she
46,want
47,him
48,one
49,knows
50,sure
51,officer
52,knocking
53,my
54,door
55,thru
56,her
57,window
58,shade
59,i
60,watch
61,her
62,shadow
63,move
64,i
65,wonder
66,she
67,could
68,see
69,me
70,bridgeoutro
71,i'm
72,her
73,i
74,feel
75,fine
76,i
77,could
78,kiss
79,her
80,i
81,mind
82,time
83,took
84,find
85,my
86,lily
87,my
88,one
89,i
90,hardly
91,wait
92,till
93,i
94,see
95,her
96,oh
97,lily
98,i
99,know
100,you
101,love
102,me
103,cause
104,they're
105,draggin'
106,me
107,away
108,i
109,swear
110,i
111,saw
112,her
113,raise
114,her
115,hand
116,wave
117,goodbye
