,The Last Song_The All-American Rejects
0,may
1,last
2,thing
3,i
4,write
5,long
6,you
7,hear
8,me
9,smiling
10,i
11,sing
12,song
13,you
14,you
15,i
16,leave
17,you
18,someone
19,say
20,goodbye
21,i
22,leave
23,you
24,someone
25,wipe
26,your
27,eye
28,my
29,foot
30,door
31,you
32,can't
33,stop
34,me
35,prechorus
36,you
37,wanted
38,best
39,me
40,you
41,give
42,back
43,i'll
44,take
45,lead
46,there's
47,room
48,make
49,grow
50,i'll
51,see
52,you
53,you'll
54,pretend
55,you're
56,naive
57,you
58,want
59,you
60,need
61,you
62,end
63,let
64,me
65,know
66,i
67,go
68,remember
69,simple
70,things
71,you
72,know
73,my
74,mind
75,crutch
76,i
77,still
78,hope
79,you
80,miss
81,me
82,i'm
83,gone
84,last
85,song
86,hearts
87,start
88,breaking
89,year
90,gone
91,dream's
92,beginning
93,time
94,rolls
95,seems
96,surreal
97,i
98,sing
99,somehow
100,i
101,knew
102,would
103,way
104,somehow
105,i
106,knew
107,would
108,slowly
109,fade
110,i
111,gone
112,try
113,stop
114,me
115,prechorus
116,you
117,wanted
118,best
119,me
120,you
121,give
122,back
123,i'll
124,take
125,lead
126,there's
127,room
128,make
129,grow
130,i'll
131,see
132,you
133,you'll
134,pretend
135,you're
136,naive
137,you
138,want
139,you
140,need
141,you
142,end
143,let
144,me
145,know
146,i
147,go
148,remember
149,simple
150,things
151,you
152,know
153,my
154,mind
155,crutch
156,i
157,still
158,hope
159,you
160,miss
161,me
162,i'm
163,gone
164,last
165,song
166,you
167,need
168,me
169,you'll
170,find
171,way
172,somehow
173,you
174,want
175,i
176,want
177,i
178,go
179,remember
180,simple
181,things
182,you
183,know
184,my
185,mind
186,crutch
187,i
188,still
189,hope
190,you
191,miss
192,me
193,i'm
194,gone
195,last
196,song
197,i
198,go
199,i
200,go
201,remember
202,simple
203,things
204,you
205,know
206,things
207,you
208,know
209,my
210,mind
211,crutch
212,i
213,still
214,hope
215,you
216,miss
217,me
218,i'm
219,gone
220,last
221,song
