,The Moon_Cat Power
0,moon
1,beautiful
2,far
3,away
4,moon
5,ice
6,cold
7,stay
8,i
9,lay
10,me
11,you
12,still
13,around
14,put
15,me
16,six
17,feet
18,underground
19,big
20,bad
21,beautiful
22,you
23,around
24,everyone
25,says
26,know
27,you
28,better
29,you
30,know
31,everyone
32,says
33,you
34,you
35,i
36,lay
37,me
38,you
39,still
40,around
41,put
42,you
43,six
44,feet
45,underground
46,big
47,bad
48,beautiful
49,moon
50,around
51,cause
52,moon
53,beautiful
54,far
55,away
56,moon
57,ice
58,cold
59,stay
60,everyone
61,says
62,know
63,you
64,better
65,you
66,know
67,everyone
68,says
69,you
70,you
